dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,310,5.011448071101461,15.427610468183165,17.89637976548887,163.74193548387098,88.02580645161291,1.7903225806451613,14.5
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,310,5.015516617308493,15.422923179275564,17.643145161351292,164.67096774193547,87.09677419354838,1.803225806451613,14.474193548387097
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,310,5.011448071101461,15.427610468183165,17.89637976548887,163.74193548387098,88.02580645161291,1.7903225806451613,14.5
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,310,5.015516617308493,15.422923179275564,17.643145161351292,164.67096774193547,87.09677419354838,1.803225806451613,14.474193548387097
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,310,5.024268753990188,15.441398637151126,17.684100337156096,166.8774193548387,85.35483870967742,1.8290322580645162,14.419354838709678
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,310,5.028088209297173,15.45596961829281,18.065646809935856,167.69032258064516,84.65806451612903,1.8306451612903225,14.398387096774194
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,310,5.024268753990188,15.441398637151126,17.684100337156096,166.8774193548387,85.35483870967742,1.8290322580645162,14.419354838709678
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,310,5.028088209297173,15.45596961829281,18.065646809935856,167.69032258064516,84.65806451612903,1.8306451612903225,14.398387096774194
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,6.8355263157894735
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,304,5.481815018569469,10.781347863853059,4.904161042343401,65.13157894736842,80.52631578947368,1.1217105263157894,6.828947368421052
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,6.8355263157894735
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,304,5.481815018569469,10.781347863853059,4.904161042343401,65.13157894736842,80.52631578947368,1.1217105263157894,6.828947368421052
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.529563380703039,10.900735448280079,4.340236685247061,67.73684210526316,82.1842105263158,1.1611842105263157,6.815789473684211
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,304,5.529563380703039,10.893306755952949,4.340236685247061,67.73684210526316,81.94736842105263,1.1644736842105263,6.8125
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,304,5.529563380703039,10.900735448280079,4.340236685247061,67.73684210526316,82.1842105263158,1.1611842105263157,6.815789473684211
