sequence,recording,frame,source,target_id,range_m,matched_2m,matched_12m
0000,testoutput_CAV_data_2022-03-15-09-54-40,96,1,2,38.634498215961315,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,96,2,103,26.05989169785258,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,97,1,1,28.00190889887386,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,97,1,2,38.810218733404845,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,97,2,103,26.213872978317355,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,98,1,1,28.0887943557078,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,98,1,2,39.094968881412065,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,98,1,107,31.99478641270256,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,98,2,103,26.407057434261574,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,99,1,1,28.167494564452376,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,99,1,2,39.33595233392347,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,99,2,103,26.616402442998147,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,100,1,1,28.23294493240205,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,100,1,2,39.57872851607429,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,100,2,103,26.808401877261872,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,101,1,1,28.303734074619666,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,101,1,2,39.90097590328,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,101,2,103,26.973305509210146,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,102,1,1,28.37389080437301,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,102,2,103,27.208531481727395,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,103,1,1,28.459414827942677,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,103,2,103,27.432118796330784,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,104,1,1,28.510701529150126,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,104,2,103,27.595279646943986,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,105,1,1,28.586092945285497,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,105,2,103,27.826388806424966,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,106,1,1,28.621803708543943,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,106,2,103,28.010242548239937,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,107,1,1,28.671454486403864,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,107,2,103,28.22002879450551,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,108,1,1,28.74336927461205,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,108,2,103,28.411491883853053,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,109,1,1,28.768674131480946,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,109,2,103,28.562432132066686,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,110,1,1,28.80766623914764,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,110,2,103,28.727345981939415,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,111,1,1,28.890286029292508,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,111,2,103,28.956142660542564,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,112,1,1,28.870779659995396,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,112,2,103,29.178227313067755,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,113,1,1,28.889989842269323,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,113,2,103,29.361708214078774,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,114,1,1,28.95506728838195,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,114,2,103,29.517885494327576,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,115,1,1,28.918979402837838,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,115,2,103,29.722738299756003,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,116,1,1,28.914191451494307,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,116,1,7,38.55929388206845,0,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,116,2,103,29.883644443749706,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,117,1,1,28.990838486649004,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,117,1,7,37.78003557727245,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,117,2,103,30.064288597078967,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,118,1,1,28.875314694890395,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,118,1,7,36.98218915710407,0,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,118,2,103,30.20871452692128,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,119,1,1,28.840125214753275,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,119,1,7,36.92696020729372,1,1
