mode,condition,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
nominal,reliable,12,2,predicted,51,59,50,False,False,0.6097055773458613,3.7479809725141386,0.0,False
nominal,reliable,12,2,local,24,24,24,True,False,0.7246173034141593,0.1759717055238843,4.589435150401982,False
nominal,reliable,12,2,posterior,47,55,46,False,False,0.637898322760079,6.261511841268991,19.811305427422212,False
nominal,reliable,12,2,fused,53,61,52,False,False,0.637898322760079,6.261511841268991,19.811305427422212,False
nominal,reliable,12,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,12,2,target_posterior,25,22,21,False,False,0.0042721975177327795,3.2514683901346864,19.811305427422212,False
nominal,reliable,13,1,predicted,57,65,56,False,False,0.6315193395324782,6.261511841268991,0.0,False
nominal,reliable,13,1,local,51,58,49,False,False,0.22203219080085967,7.007472858330782,14.58161322955744,False
nominal,reliable,13,1,posterior,47,56,45,False,False,0.7927541196968462,7.007472858330747,14.581613229557384,False
nominal,reliable,13,1,fused,52,60,50,False,False,0.7927541196968462,7.007472858330747,24.644824904097888,False
nominal,reliable,13,1,target_local,23,27,21,False,False,0.037374201393272896,7.007472858330782,14.58161322955744,False
nominal,reliable,13,1,target_posterior,23,27,21,False,False,0.0042880823706752565,7.007472858330747,14.581613229557384,False
nominal,reliable,13,2,predicted,47,55,46,False,False,0.6315193395324782,6.261511841268991,0.0,False
nominal,reliable,13,2,local,20,19,18,False,False,0.5838167978612252,0.17597170552397756,3.169394075588343,False
nominal,reliable,13,2,posterior,47,56,45,False,False,0.7927541196968462,7.007472858330747,14.581613229557384,False
nominal,reliable,13,2,fused,52,60,51,False,False,0.7927541196968462,7.007472858330747,14.581613229557384,False
nominal,reliable,13,2,target_local,2,1,0,False,False,0.0,0.0,0.0,False
nominal,reliable,13,2,target_posterior,23,27,21,False,False,0.0042880823706752565,7.007472858330747,14.581613229557384,False
nominal,reliable,14,1,predicted,57,66,55,False,False,0.7848265784998777,7.007472858330747,0.0,False
nominal,reliable,14,1,local,48,57,47,False,False,0.2433593700499831,6.51327468142042,12.058739798758786,False
nominal,reliable,14,1,posterior,46,55,45,False,False,0.8683287668591971,6.5132746814204445,52.506079514959964,False
nominal,reliable,14,1,fused,49,58,48,False,False,0.8683287668591971,6.5132746814204445,52.506079514959964,False
nominal,reliable,14,1,target_local,26,30,25,False,False,0.048567709640928935,6.51327468142042,12.058739798758786,False
nominal,reliable,14,1,target_posterior,26,30,25,False,False,0.012165158618017643,6.5132746814204445,12.0587397987588,False
nominal,reliable,14,2,predicted,47,56,45,False,False,0.7848265784998777,7.007472858330747,0.0,False
nominal,reliable,14,2,local,13,13,11,False,False,0.7186193909603753,0.04857003419705407,1.6686260351697513,False
nominal,reliable,14,2,posterior,46,55,44,False,False,0.8683287668591794,6.5132746814204445,12.0587397987588,False
nominal,reliable,14,2,fused,49,58,46,False,False,0.8683287668591794,6.5132746814204445,12.0587397987588,False
nominal,reliable,14,2,target_local,1,0,0,False,False,0.0,0.0,0.0,False
nominal,reliable,14,2,target_posterior,26,30,25,False,False,0.012165158618017643,6.5132746814204445,12.0587397987588,False
nominal,reliable,15,1,predicted,55,64,54,False,False,0.8596454791906052,6.5132746814204445,0.0,False
nominal,reliable,15,1,local,49,59,48,False,False,0.3960653376029031,5.669668758777718,11.126506226354532,False
nominal,reliable,15,1,posterior,46,56,45,False,False,0.8923990716472529,5.669668758777732,44.82807950089568,False
nominal,reliable,15,1,fused,49,59,48,False,False,0.8923990716472529,5.669668758777732,44.82807950089568,False
nominal,reliable,15,1,target_local,24,29,23,False,False,0.0525184505711427,5.669668758777718,8.871855062948207,False
nominal,reliable,15,1,target_posterior,24,29,23,False,False,0.03599344218814839,5.669668758777732,8.871855062948178,False
nominal,reliable,15,2,predicted,46,55,44,False,False,0.8596454791905875,6.5132746814204445,0.0,False
nominal,reliable,15,2,local,12,11,10,False,False,0.6203714734867817,0.0659093803750288,1.6668138881019718,False
nominal,reliable,15,2,posterior,46,56,44,False,False,0.8923990716472529,5.669668758777732,11.126506226354532,False
nominal,reliable,15,2,fused,49,59,47,False,False,0.8923990716472529,5.669668758777732,11.126506226354532,False
nominal,reliable,15,2,target_local,1,0,0,False,False,0.0,0.0,0.0,False
nominal,reliable,15,2,target_posterior,24,29,23,False,False,0.03599344218814839,5.669668758777732,8.871855062948178,False
nominal,reliable,16,1,predicted,55,65,54,False,False,0.8834750809307803,5.669668758777732,0.0,False
nominal,reliable,16,1,local,52,63,51,False,False,0.7759783703450387,4.7909186419715395,5.432258579847989,False
nominal,reliable,16,1,posterior,51,62,50,False,False,0.8054960874706601,4.79091864197154,31.576769672838793,False
nominal,reliable,16,1,fused,52,63,51,False,False,0.8054960874706601,4.79091864197154,31.576769672838793,False
nominal,reliable,16,1,target_local,21,29,20,False,False,0.15692277965126292,4.7909186419715395,5.432258579847989,False
nominal,reliable,16,1,target_posterior,21,29,20,False,False,0.08193596948808489,4.79091864197154,5.432258579847996,False
nominal,reliable,16,2,predicted,46,56,44,False,False,0.8834750809307803,5.669668758777732,0.0,False
nominal,reliable,16,2,local,10,9,8,False,False,0.5449237652554718,0.041987998289803485,1.6738125241857116,False
nominal,reliable,16,2,posterior,51,62,49,False,False,0.8054960874706601,4.79091864197154,5.432258579847996,False
nominal,reliable,16,2,fused,52,63,50,False,False,0.8054960874706601,4.79091864197154,5.432258579847996,False
nominal,reliable,16,2,target_local,1,0,0,False,False,0.0,0.0,0.0,False
nominal,reliable,16,2,target_posterior,21,29,20,False,False,0.08193596948808489,4.79091864197154,5.432258579847996,False
nominal,reliable,17,1,predicted,62,73,61,False,False,0.7974411265959535,4.79091864197154,0.0,False
nominal,reliable,17,1,local,59,70,58,False,False,0.651185891090728,4.140413095241097,18.460322210643966,False
nominal,reliable,17,1,posterior,58,68,56,False,False,0.16801433369360697,4.140413095241108,31.728721815667228,False
nominal,reliable,17,1,fused,59,70,58,False,False,0.19568680234957955,4.140413095241108,31.728721815667228,False
nominal,reliable,17,1,target_local,15,31,15,False,False,0.31727351937545945,4.140413095241097,3.18122481382229,False
nominal,reliable,17,1,target_posterior,15,31,15,False,False,0.16801433369360697,4.140413095241108,3.1812248138223005,False
nominal,reliable,17,2,predicted,51,62,49,False,False,0.7974411265959535,4.79091864197154,0.0,False
nominal,reliable,17,2,local,12,10,10,False,False,0.2969168185389796,0.015194395566851426,1.6777169737804076,False
nominal,reliable,17,2,posterior,58,68,55,False,False,0.16801433369360697,4.140413095241108,18.460322210643966,False
nominal,reliable,17,2,fused,59,70,57,False,False,0.1956868023495794,4.140413095241108,18.460322210643966,False
nominal,reliable,17,2,target_local,1,0,0,False,False,0.0,0.0,0.0,False
nominal,reliable,17,2,target_posterior,15,31,15,False,False,0.16801433369360697,4.140413095241108,3.1812248138223005,False
nominal,reliable,18,1,predicted,68,78,66,False,False,0.1663341903566709,4.140413095241108,0.0,False
nominal,reliable,18,1,local,65,75,63,False,False,0.5321473418875755,3.711038669334953,26.426740568857724,False
nominal,reliable,18,1,posterior,63,73,61,False,False,0.3176531185124756,3.711038669334947,31.577025441498137,False
