x,self_input_intensity,gateway_input_intensity,renormalized_intensity,self_fallback_intensity
-0.08999999999999986,0.3178638652629507,7.439423657475673e-05,0.17029853022276664,0.2801132488796556
-0.08000000000000007,0.31813416440928716,7.749616671897542e-05,0.17158343054221192,0.28091271033039455
-0.06999999999999984,0.31837285453020087,8.071936210465155e-05,0.17286073848060976,0.28168628345934327
-0.06000000000000005,0.3185798641564856,8.40682083443201e-05,0.1741301411188405,0.28243374205573174
-0.04999999999999982,0.31875513127581123,8.754723475184045e-05,0.17539132560436835,0.2831548671416989
-0.040000000000000036,0.31889860336368403,9.116111845509169e-05,0.17664397927732003,0.28384944707918486
-0.029999999999999805,0.3190102374096798,9.491468860365297e-05,0.1778877897973877,0.284517277673428
-0.020000000000000018,0.31908999993893294,9.881293067281895e-05,0.17912244527148305,0.28515816227299456
-0.009999999999999787,0.31913786702886576,0.00010286099086529686,0.1803476343820731,0.2857719118662728
0.0,0.3191538243211462,0.0001070641806119083,0.18156304651612376,0.2863583451743656
0.010000000000000231,0.31913786702886576,0.00011142798117260816,0.1827683718945791,0.28691728874031724
0.020000000000000018,0.31908999993893294,0.00011595804833911285,0.1839633017023004,0.2874485770146127
0.03000000000000025,0.3190102374096798,0.00012066021724041446,0.18514752821839192,0.28795205243689165
0.040000000000000036,0.31889860336368403,0.00012554050725242582,0.18632074494683523,0.28842756551381893
0.050000000000000266,0.31875513127581123,0.00013060512701299385,0.1874826467473576,0.28887497489305924
0.06000000000000005,0.3185798641564856,0.00013586047954347488,0.18863292996645545,0.2892941474333033
0.07000000000000028,0.31837285453020087,0.000141313167478057,0.18977129256849667,0.28968495827029883
0.08000000000000007,0.31813416440928716,0.0001469699984019657,0.19089743426682138,0.29004729087883835
0.08999999999999986,0.3178638652629507,0.0001528379902996781,0.19201105665476453,0.29038103713066216
0.10000000000000009,0.3175620379816095,0.00015892437711421817,0.19311186333651892,0.2906860973482362
0.10999999999999988,0.3172287728365487,0.0001652366144185804,0.19419956005776035,0.2909623803543661
0.1200000000000001,0.3168641694349249,0.00017178238520029364,0.1952738548359544,0.2912098035176148
0.1299999999999999,0.31646833667014995,0.0001785696057600817,0.19633445809026467,0.29142829279348975
0.14000000000000012,0.31604139266768905,0.0001856064317255539,0.19738108277098187,0.2916177827613735
0.1499999999999999,0.31558346472631116,0.0001929012641807946,0.19841344448839357,0.2917782166571693
0.16000000000000014,0.3150946892548327,0.0002004627559126886,0.19943126164101432,0.29190954640164135
0.16999999999999993,0.3145752117043978,0.00020829981777475398,0.20043425554309433,0.2920117326244278
0.18000000000000016,0.31402518649634314,0.0002164216251692168,0.20142215055132814,0.292084744683711
0.18999999999999995,0.31344477694569695,0.00022483762464798907,0.202394674190681,0.2921285606815312
0.20000000000000018,0.3128341551803647,0.00023355754063316824,0.20335155727925452,0.2921431674747321
0.20999999999999996,0.3121935020560595,0.0002425913822576034,0.2042925340521106,0.2921285606815312
0.2200000000000002,0.3115230070670324,0.00025194945032601753,0.20521734228397473,0.292084744683711
0.22999999999999998,0.31082286825266875,0.00026164234439710006,0.20612572341073931,0.2920117326244278
0.2400000000000002,0.3100932921000113,0.00027168096998692385,0.2070174226496888,0.29190954640164135
0.25,0.3093344934422795,0.00028207654589395637,0.20789218911836757,0.2917782166571693
0.26000000000000023,0.30854669535345286,0.00029284061164586855,0.2087497759520148,0.29161778276137346
0.27,0.30773012903899427,0.0003039850350682572,0.20958994041948725,0.29142829279348975
0.28000000000000025,0.30688503372278286,0.0003155220199753256,0.2104124440375965,0.2912098035176148
0.29000000000000004,0.30601165653033924,0.00032746411398246314,0.21121705268378257,0.2909623803543661
0.30000000000000027,0.30511025236841927,0.00033982421644060184,0.21200353670705208,0.2906860973482362
0.31000000000000005,0.30418108380105996,0.00035261558649210604,0.2127716710371054,0.29038103713066216
0.3200000000000003,0.30322442092216134,0.00036585185124788614,0.21352123529158187,0.29004729087883835
0.33000000000000007,0.30224054122469174,0.00037954701408529656,0.21425201388135034,0.28968495827029883
0.33999999999999986,0.3012297294666032,0.0003937154630663145,0.21496379611377547,0.2892941474333033
0.3500000000000001,0.3001922775335504,0.0004083719794753485,0.21565637629389056,0.28887497489305924
0.3599999999999999,0.29912848429850275,0.00042353174647594784,0.21632955382340804,0.28842756551381893
0.3700000000000001,0.29803865547834674,0.000439210357885567,0.2169831332975026,0.28795205243689165
0.3799999999999999,0.2969231034875729,0.00045542382706740213,0.21761692459929985,0.2874485770146127
0.3900000000000001,0.2957821472891459,0.0004721885959382285,0.218230742992008,0.28691728874031724
0.3999999999999999,0.2946161122426587,0.0004895215440910175,0.21882440920862875,0.28635834517436565
0.41000000000000014,0.2934253299498689,0.0005074399980310061,0.2193977495391881,0.2857719118662728
0.41999999999999993,0.2922101380977231,0.0005259617405237413,0.21995059591542568,0.28515816227299456
0.43000000000000016,0.2909708802989707,0.0005451050200535137,0.22048278599288676,0.28451727767342794
0.43999999999999995,0.2897079059304738,0.000564888560390429,0.22099416323035925,0.28384944707918486
0.4500000000000002,0.2884215699693184,0.0005853315702642487,0.2214845769666024,0.28315486714169885
0.45999999999999996,0.28711223282683573,0.0006064537531429683,0.22195388249431358,0.2824337420557318
0.4700000000000002,0.2857802601806407,0.000628275317113976,0.22240194113128361,0.2816862834593432
0.48,0.2844260228047977,0.0006508169848654468,0.22282862028869002,0.28091271033039455
0.4900000000000002,0.28304989639822375,0.0006741000037655223,0.22323379353648254,0.2801132488796556
0.5,0.2816522614114396,0.0006981461560366082,0.22361734066581518,0.2792881324405895
0.5100000000000002,0.2802335028717806,0.0007229777690220211,0.22397914774848143,0.27843760135588846
0.52,0.27879401020717964,0.0007486177255419838,0.22431910719331222,0.27756190286084026
0.5300000000000002,0.2773341770686333,0.0007750894743358775,0.22463711779949633,0.2766612909636015
0.54,0.2758544011514667,0.0008024170405873902,0.22493308480678784,0.2757360263224624
0.5500000000000003,0.2743550840155071,0.0008306250365291297,0.22520691994256437,0.27478637612018286
0.56,0.27283663090428206,0.0008597386721229885,0.22545854146570413,0.273812613935487
0.5700000000000003,0.2712994505633537,0.0008897837658124537,0.22568787420725114,0.2728150196118005
0.5800000000000001,0.26974395505790444,0.0009207867553427877,0.22589484960783998,0.2717938791233209
0.5899999999999999,0.26817055958968494,0.0009527747086448935,0.22607940575185445,0.2707494844385091
0.6000000000000001,0.26657968231343976,0.000985775334778416,0.22624148739829603,0.26968213338109376
0.6099999999999999,0.2649717441529224,0.0010198169949294665,0.22638104600834047,0.2685921294886811
0.6200000000000001,0.26334716861661184,0.001054928713458194,0.22649803976956387,0.2674797818690639
