dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,conditional,144,4.110703586102062,3.6051469060279393,0.10451291807450852,20.5,12.25,0.3368055555555556,0.6215277777777778
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,joint,144,4.038082590097711,3.5357326963852196,0.0985557046524508,21.5,11.25,0.3090277777777778,0.59375
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,original,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,0.5659722222222222
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,joint_mark,144,4.092658065279272,3.547163626694582,0.10234571010076127,22.5,10.25,0.2951388888888889,0.5659722222222222
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,conditional,144,4.075295945377011,3.554415134801734,0.10836619308283173,21.0,11.25,0.3159722222222222,0.6006944444444444
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,joint,144,4.068295986112212,3.5659666853872047,0.1038970496684048,22.0,11.25,0.3020833333333333,0.5868055555555556
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121,6.797979797979798
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,198,6.1376890345222614,15.27877432780596,12.127905568619889,243.27272727272728,54.90909090909091,3.1414141414141414,6.767676767676767
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,conditional,198,6.301017348673914,15.70526246149884,12.991927386507527,231.27272727272728,70.18181818181819,3.0555555555555554,7.146464646464646
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint,198,6.225124763790635,15.480125177928423,12.183517679652889,238.1818181818182,61.09090909090909,3.085858585858586,6.924242424242424
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.280622916377265,15.70235311463642,12.363729592584807,256.3636363636364,60.0,3.2626262626262625,6.656565656565657
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,198,6.301329615639196,15.741547315936991,11.86780929376849,258.1818181818182,60.0,3.287878787878788,6.6313131313131315
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,conditional,198,6.362450660598425,15.945773200699758,13.21874885998293,245.0909090909091,69.81818181818181,3.1717171717171717,6.94949494949495
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint,198,6.311137635096089,15.857698071225697,12.317074186657887,253.45454545454547,65.45454545454545,3.217171717171717,6.7727272727272725
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.629738284342926,16.1817846794556,10.327580337150478,262.90909090909093,60.36363636363637,3.3333333333333335,6.570707070707071
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,198,6.627658387085297,16.18215736193706,10.173765781710474,263.8181818181818,60.0,3.340909090909091,6.553030303030303
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,conditional,198,6.735021951442604,16.457053917293152,10.728476829952536,254.0,71.27272727272727,3.29040404040404,6.845959595959596
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint,198,6.697493075603464,16.334001461191,10.227990269956948,259.45454545454544,65.63636363636364,3.3181818181818183,6.691919191919192
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.712785816591965,16.40317397601031,10.771406567340245,268.1818181818182,62.54545454545455,3.4065656565656566,6.527777777777778
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,198,6.720246234913577,16.410702362936508,10.671274714175361,269.09090909090907,62.18181818181818,3.4242424242424243,6.51010101010101
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,conditional,198,6.784633838425097,16.54796447827903,11.509699073833293,259.8181818181818,69.81818181818181,3.3762626262626263,6.744949494949495
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint,198,6.7437701976805275,16.476872832706214,10.970376237296836,264.3636363636364,66.36363636363636,3.4015151515151514,6.633838383838384
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,180,5.007769703762963,20.580320139748082,60.62313283698984,332.8,47.6,3.9611111111111112,23.25
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,conditional,180,4.923015127341639,20.752311933732148,58.15393931898097,318.0,70.8,3.511111111111111,23.77777777777778
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint,180,4.965098746514549,20.51563784197556,60.20482439305182,326.0,51.6,3.811111111111111,23.4
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.004198076160943,20.65008873163957,59.200873973188216,333.6,51.2,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,180,5.005802524914316,20.655474491205332,59.154363746550125,334.0,51.2,3.9277777777777776,23.283333333333335
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,conditional,180,4.939041390434881,20.72395978004888,57.39832960277933,320.4,68.4,3.588888888888889,23.711111111111112
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint,180,4.975123453665368,20.614457059708286,59.19373665061612,328.8,54.4,3.811111111111111,23.4
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.157977066480075,21.18528848483337,57.55235961007309,354.8,53.2,4.188888888888889,23.022222222222222
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,180,5.160925176120054,21.179935772975973,57.35030469365823,355.6,52.6,4.208333333333333,23.002777777777776
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,conditional,180,5.037903646520462,21.239818709590534,57.185620279186836,333.8,76.2,3.65,23.633333333333333
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,joint,180,5.134391529301253,21.165129881068967,57.86267091002221,350.6,55.8,4.094444444444444,23.116666666666667
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.154998800864758,21.177913489040694,57.341295484783224,355.6,53.2,4.2,23.011111111111113
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint_mark,180,5.155801025241445,21.173983591311302,57.31804037146419,355.8,52.8,4.208333333333333,23.002777777777776
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,conditional,180,5.051277936772888,21.152797979465152,58.72544607260218,336.8,67.6,3.761111111111111,23.47222222222222
