sequence,dataset,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,reused
v2x_0000,v2x_val,2023-03-17,reliable,marked_gaussian_evidence,104,9.740904935709999,17.648265488785857,0.13394818308298637,322.61538461538464,33.92307692307692,4.009615384615385,963040,963040,3434496,1.68916975,True
v2x_0000,v2x_val,2023-03-17,reliable,marked_gaussian_evidence_miss_history,104,9.72757918971906,17.590491931567218,0.13447344146292714,321.2307692307692,32.53846153846154,4.009615384615385,963392,963392,3434496,3.4248367083333333,False
v2x_0000,v2x_val,2023-03-17,reliable,marked_gaussian_evidence_miss_half,104,9.727580344440554,17.590495187826328,0.13455131228148554,321.2307692307692,32.53846153846154,4.009615384615385,938400,938400,3434496,2.0549196666666667,False
v2x_0000,v2x_val,2023-03-17,intermittent,marked_gaussian_evidence,104,9.739305774485873,17.6462129574126,0.15794841345814614,322.61538461538464,33.92307692307692,4.009615384615385,903200,726752,3434496,1.28693125,True
v2x_0000,v2x_val,2023-03-17,intermittent,marked_gaussian_evidence_miss_history,104,9.729310361618657,17.60287771485559,0.15812761556137878,321.5769230769231,32.88461538461539,4.009615384615385,903552,727104,3434496,1.9033016666666667,False
v2x_0000,v2x_val,2023-03-17,intermittent,marked_gaussian_evidence_miss_half,104,9.729311495837429,17.602880912172058,0.15820405601673854,321.5769230769231,32.88461538461539,4.009615384615385,908128,730624,3434496,1.5620064583333333,False
v2x_0001,v2x_val,2023-03-17,reliable,marked_gaussian_evidence,131,9.9873209850388,27.421463127952922,6.603758054843298,738.1374045801526,12.091603053435115,10.083969465648854,2669504,2669504,4883200,4.780478,True
v2x_0001,v2x_val,2023-03-17,reliable,marked_gaussian_evidence_miss_history,131,9.720066364140344,26.684050619862813,6.601586290649915,696.9160305343512,12.091603053435115,9.511450381679388,2238304,2238304,4326144,6.050499375,False
v2x_0001,v2x_val,2023-03-17,reliable,marked_gaussian_evidence_miss_half,131,9.681539219827133,26.579594599576442,6.418454916348593,691.4198473282443,12.091603053435115,9.435114503816793,2185504,2185504,4326144,4.047740875,False
v2x_0001,v2x_val,2023-03-17,intermittent,marked_gaussian_evidence,131,9.741793423745936,26.752205391287944,7.60684574321997,700.2137404580153,12.091603053435115,9.557251908396946,2046464,1494336,4326144,2.481477583333333,True
