sequence,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_000,144,4.140431578946704,3.6380835917544325,0.08207520842251598,23.5,11.0,0.2986111111111111
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_050,144,4.00627762544074,3.5225273763989082,0.08320477943543693,23.0,10.5,0.2986111111111111
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_100,144,4.11667352423745,3.633084933897295,0.08388851837516416,23.0,11.5,0.3125
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_125,144,4.116614097518655,3.60861595121842,0.08381284334859673,23.0,11.0,0.3194444444444444
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_all,144,4.063124813989527,3.5607484220057497,0.09833417545274276,22.0,11.25,0.3020833333333333
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_positive,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_negative,144,4.063124813989527,3.5607484220057497,0.09833417545274276,22.0,11.25,0.3020833333333333
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_consensus,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_000,144,4.0907301593484755,3.5760473631128704,0.10104222177804156,23.0,10.75,0.2881944444444444
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_050,144,4.009916925544798,3.495228154019744,0.10170967227652906,22.5,10.25,0.2881944444444444
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_100,144,4.174203681389709,3.6597457341739124,0.10111826393308844,22.5,11.75,0.3090277777777778
0002,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_125,144,4.202163453421864,3.6633091794050463,0.10084095498041963,22.5,11.5,0.3194444444444444
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_all,198,6.20964082492293,15.438698812439847,13.828270006614066,255.27272727272728,53.45454545454545,3.287878787878788
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_positive,198,6.140864986281698,15.275620874874777,11.609801560253112,241.8181818181818,56.36363636363637,3.111111111111111
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_negative,198,6.361420804429046,15.722563226303153,11.480298755169537,264.0,55.63636363636363,3.398989898989899
