sequence,condition,truth_id,frame,robot,arm,preprune_components,retained_components,sum_r,max_r,probability_effective_count,born_in_last_ten_frames,total_retained_components,matched
v2xt_0001,reliable,5,62,1,marked_gaussian_evidence,130,130,0.4696993385520109,0.003759782004566873,128.4684368038161,15,160,False
v2xt_0001,reliable,5,62,2,marked_gaussian_evidence,130,130,0.4696993385520109,0.003759782004566873,128.4684368038161,15,160,False
v2xt_0001,reliable,5,63,1,marked_gaussian_evidence,128,128,0.46930011969121066,0.0038032551186820323,126.56903712397776,12,163,False
v2xt_0001,reliable,5,63,2,marked_gaussian_evidence,128,128,0.46930011969121066,0.0038032551186820323,126.56903712397776,12,163,False
v2xt_0001,reliable,5,64,1,marked_gaussian_evidence,132,132,0.46858467340252374,0.0037048898180567385,130.20986905461456,16,172,False
v2xt_0001,reliable,5,64,2,marked_gaussian_evidence,132,132,0.46858467340252374,0.0037048898180567385,130.20986905461456,16,172,False
v2xt_0001,reliable,5,65,1,marked_gaussian_evidence,132,132,0.46811491108742675,0.0037045225724031505,130.35131590978912,17,174,False
v2xt_0001,reliable,5,65,2,marked_gaussian_evidence,132,132,0.46811491108742675,0.0037045225724031505,130.35131590978912,17,174,False
v2xt_0001,reliable,5,66,1,marked_gaussian_evidence,131,131,0.47202682484577063,0.003755152488186084,129.51950661663403,16,182,False
v2xt_0001,reliable,5,66,2,marked_gaussian_evidence,131,131,0.47202682484577063,0.003755152488186084,129.51950661663403,16,182,False
v2xt_0001,reliable,5,67,1,marked_gaussian_evidence,129,129,0.4546183810774437,0.003661942695894366,127.429971877108,16,183,False
v2xt_0001,reliable,5,67,2,marked_gaussian_evidence,129,129,0.4546183810774437,0.003661942695894366,127.429971877108,16,183,False
v2xt_0001,reliable,5,68,1,marked_gaussian_evidence,137,137,0.4787797720486917,0.0036682097958959897,135.25164026390934,21,191,False
v2xt_0001,reliable,5,68,2,marked_gaussian_evidence,137,137,0.4787797720486917,0.0036682097958959897,135.25164026390934,21,191,False
v2xt_0001,reliable,5,69,1,marked_gaussian_evidence,137,137,0.47310516786899626,0.0036192635649670984,135.13128414918774,20,196,False
v2xt_0001,reliable,5,69,2,marked_gaussian_evidence,137,137,0.47310516786899626,0.0036192635649670984,135.13128414918774,20,196,False
v2xt_0001,reliable,5,70,1,marked_gaussian_evidence,146,146,0.501343375158576,0.0036111059932418927,144.00467318174995,23,200,False
v2xt_0001,reliable,5,70,2,marked_gaussian_evidence,146,146,0.501343375158576,0.0036111059932418927,144.00467318174995,23,200,False
v2xt_0001,reliable,5,71,1,marked_gaussian_evidence,148,148,0.5036490649911638,0.0035786797915094443,145.92884315163488,23,207,False
v2xt_0001,reliable,5,71,2,marked_gaussian_evidence,148,148,0.5036490649911638,0.0035786797915094443,145.92884315163488,23,207,False
v2xt_0001,reliable,5,72,1,marked_gaussian_evidence,151,151,0.5127864404992604,0.0035889795990665047,148.43990058318798,25,211,False
v2xt_0001,reliable,5,72,2,marked_gaussian_evidence,151,151,0.5127864404992604,0.0035889795990665047,148.43990058318798,25,211,False
v2xt_0001,reliable,5,73,1,marked_gaussian_evidence,154,154,0.4987986289764389,0.0034323995468910403,151.08671286192396,26,216,False
v2xt_0001,reliable,5,73,2,marked_gaussian_evidence,154,154,0.4987986289764389,0.0034323995468910403,151.08671286192396,26,216,False
v2xt_0001,reliable,5,74,1,marked_gaussian_evidence,171,171,0.5585460563284255,0.003453509115584996,167.8304917658061,27,225,False
v2xt_0001,reliable,5,74,2,marked_gaussian_evidence,171,171,0.5585460563284255,0.003453509115584996,167.8304917658061,27,225,False
v2xt_0001,reliable,5,75,1,marked_gaussian_evidence,170,170,0.5439186511089558,0.0033801512613802986,167.0203284952447,28,230,False
v2xt_0001,reliable,5,75,2,marked_gaussian_evidence,170,170,0.5439186511089558,0.0033801512613802986,167.0203284952447,28,230,False
v2xt_0001,reliable,5,76,1,marked_gaussian_evidence,178,178,0.5605880508422889,0.003321811680571953,174.90439090215824,29,234,False
v2xt_0001,reliable,5,76,2,marked_gaussian_evidence,178,178,0.5605880508422889,0.003321811680571953,174.90439090215824,29,234,False
v2xt_0001,reliable,5,77,1,marked_gaussian_evidence,182,182,0.5632885961757801,0.0032656610581919174,178.8125689869477,30,219,False
v2xt_0001,reliable,5,77,2,marked_gaussian_evidence,182,182,0.5632885961757801,0.0032656610581919174,178.8125689869477,30,219,False
v2xt_0001,reliable,5,78,1,marked_gaussian_evidence,187,187,0.5698607664666906,0.0032139901321435165,183.78054673889312,31,221,False
v2xt_0001,reliable,5,78,2,marked_gaussian_evidence,187,187,0.5698607664666906,0.0032139901321435165,183.78054673889312,31,221,False
