separation_in_sigma,eta,kla_r,mil_r
0.41000000000000003,0.9792067244089037,0.796616797617814,0.8
0.42,0.9781913242622374,0.7964486517194929,0.8
0.43,0.9771525479278599,0.7962763468794944,0.8
0.44,0.9760904721403703,0.7960998754328641,0.8
0.45,0.9750051752984178,0.7959192295337866,0.8
0.46,0.9738967374550571,0.7957344011555711,0.8
0.47000000000000003,0.9727652403079085,0.7955453820906402,0.8
0.48,0.9716107671891228,0.7953521639505193,0.8
0.49,0.9704334030551546,0.7951547381658303,0.8
0.5,0.9692332344763441,0.7949530959862868,0.8
0.51,0.9680103496263096,0.7947472284806932,0.8
0.52,0.9667648382711531,0.7945371265369454,0.8
0.53,0.9654967917584801,0.794322780862037,0.8
0.54,0.9642063030062366,0.7941041819820664,0.8
0.55,0.9628934664913628,0.7938813202422504,0.8
0.56,0.9615583782382694,0.7936541858069392,0.8
0.5700000000000001,0.960201135807134,0.7934227686596373,0.8
0.58,0.9588218382820232,0.7931870586030281,0.8
0.59,0.9574205862588399,0.7929470452590027,0.8
0.6,0.9559974818331,0.7927027180686951,0.8
0.61,0.9545526285875382,0.79245406629252,0.8
0.62,0.9530861315795482,0.7922010790102189,0.8
0.63,0.9515980973284552,0.7919437451209089,0.8
0.64,0.9500886338026269,0.7916820533431397,0.8
0.65,0.948557850406423,0.7914159922149552,0.8
0.66,0.9470058579669858,0.7911455500939619,0.8
0.67,0.945432768720874,0.7908707151574048,0.8
0.68,0.9438386963005431,0.7905914754022484,0.8
0.6900000000000001,0.9422237557206721,0.7903078186452671,0.8
0.7000000000000001,0.9405880633643421,0.7900197325231412,0.8
0.71,0.9389317369690667,0.7897272044925617,0.8
0.72,0.9372548956126777,0.7894302218303437,0.8
0.73,0.9355576596990668,0.7891287716335466,0.8
0.74,0.9338401509437892,0.7888228408196045,0.8
0.75,0.9321024923595276,0.7885124161264654,0.8
0.76,0.9303448082414207,0.7881974841127387,0.8
0.77,0.9285672241522602,0.7878780311578543,0.8
0.78,0.9267698669075553,0.7875540434622299,0.8
0.79,0.92495286456047,0.7872255070474502,0.8
0.8,0.9231163463866358,0.7868924077564554,0.8
0.81,0.921260442868839,0.7865547312537425,0.8
0.8200000000000001,0.9193852856815898,0.7862124630255762,0.8
0.8300000000000001,0.917491007675572,0.7858655883802138,0.8
0.84,0.9155777428619776,0.7855140924481399,0.8
0.85,0.913645626396729,0.785157960182316,0.8
0.86,0.9116947945645905,0.7847971763584416,0.8
0.87,0.9097253847631723,0.7844317255752297,0.8
0.88,0.9077375354868296,0.7840615922546946,0.8
0.89,0.905731386310459,0.7836867606424565,0.8
0.9,0.903707077873196,0.7833072148080577,0.8
0.91,0.9016647518620143,0.7829229386452964,0.8
0.92,0.8996045509952315,0.7825339158725748,0.8
0.93,0.8975266190059231,0.7821401300332629,0.8
0.9400000000000001,0.895431100625247,0.7817415644960797,0.8
0.9500000000000001,0.8933181415656825,0.7813382024554907,0.8
0.96,0.8911878885041844,0.7809300269321222,0.8
0.97,0.8890404890652579,0.7805170207731948,0.8
0.98,0.8868760918039538,0.7800991666529736,0.8
0.99,0.8846948461887891,0.7796764470732378,0.8
1.0,0.8824969025845955,0.7792488443637704,0.8
1.01,0.8802824122352958,0.7788163406828661,0.8
1.02,0.8780515272466163,0.7783789180178605,0.8
1.03,0.8758044005687317,0.77793655818568,0.8
1.04,0.8735411859788501,0.7774892428334123,0.8
1.05,0.8712620380637395,0.7770369534388996,0.8
1.06,0.8689671122021958,0.7765796713113537,0.8
1.07,0.8666565645474607,0.7761173775919943,0.8
