sequence,condition,candidate,reference,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,support,candidate_sse,reference_sse,candidate_rmse,reference_rmse
0013,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.02492513626110293,0.03932874366376815,-0.0019075583950944885,0.8089887640449405,0.0,0.011235955056179803,8448,8448,0,1194,310.02511221684983,310.02149513179245,0.5095611080083345,0.5095581354568008
0013,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.5347203263190905,-1.046093163130279,0.005392263640116024,2.4269662921348285,-12.134831460674153,-0.1123595505617977,11264,11264,0,1192,310.00044682097626,307.1783861061557,0.5099681254193952,0.5076415943794306
0013,reliable,marked_gaussian_evidence,marked_asymmetric,0.0930843737838174,0.14978727619834586,-0.00688514115084593,-3.235955056179776,3.235955056179776,0.0,537120,537120,0,1186,307.02678395466523,311.2506673417004,0.5087984589205105,0.5122863700204067
0013,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.050729072575556255,-0.11113741829289125,0.013380571935325936,-1.617977528089888,0.0,-0.022471910112359605,11264,14432,0,1189,404.3424860660802,404.926288794299,0.5831546744386636,0.5835755113567187
0013,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-1.0971507258261681e-08,1.4572086382003135e-07,2.032707126176092e-05,0.0,0.0,0.0,10560,8800,0,1193,407.3080305987871,407.30441238010246,0.5843072359790047,0.5843046406998853
0013,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.2164116644618117,-0.48060981768768407,0.013685385226935853,2.0224719101123583,-6.471910112359552,-0.028089887640449507,46816,34848,0,1193,407.3080305987871,402.7125757715755,0.5843072359790047,0.5810016611301753
0013,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.11081903649973146,-0.2544274270025797,-0.04679851454718298,-4.044943820224724,-0.808988764044944,-0.0449438202247191,498792,367496,0,1183,403.73023515269193,415.6381661881857,0.5841888518864243,0.5927415038935833
0014,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.5384224298902849,-1.7055888810643474,-1.6773532260018262,-50.39999999999998,0.0,-0.6999999999999997,-1394624,-1394624,-1294336,2348,1116.6568972645139,1255.3806526326985,0.6896215592023959,0.7312041865649034
0014,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,4.611152238709337e-06,2.743802799898276e-05,0.0008377622588211509,0.0,0.0,0.0,352,352,0,2484,1200.8852284376674,1200.7511864762562,0.6953043647184192,0.6952655589443572
0014,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,1.2655073404764083,3.795657679279678,-2.7597205181826423,99.0,0.0,1.375,935968,935968,1343488,2478,1157.125989352304,780.2786118032734,0.68334445236499,0.5611438406760622
0014,reliable,marked_gaussian_evidence,marked_asymmetric,-0.5866599628839069,-1.8757616109924697,-3.7140010348321306,-54.0,0.0,-0.7499999999999996,165608,165608,-98304,2328,1080.535665168622,1493.2911140723108,0.6812838046622807,0.8009045342955153
0014,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.5677522898742033,-1.9855939499726567,-6.533556902969423,-48.599999999999994,-4.05,-0.6187499999999999,-1336544,-897952,-1212416,2353,1406.4194373412809,1658.0595021513107,0.7731192133410562,0.8394389030611505
0014,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.00020374630275643568,0.0011997293119527797,0.03185713188647554,0.0,0.0,0.0,16544,15136,16384,2488,1457.3325568272273,1457.4028401870214,0.7653395304017097,0.7653579853469443
0014,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.6113724853428666,1.8770562389344292,-0.4123857445982626,50.400000000000006,0.4500000000000002,0.6937500000000001,425920,305536,819200,2464,1321.1506861872838,911.8873783764927,0.7322440064477178,0.6083454309043079
0014,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.24048797924590204,-0.7979722430752965,-3.787287679102608,-18.0,0.0,-0.25,690640,514920,720896,2422,1329.6913733818108,1851.7235564174418,0.740949068173719,0.874381592586406
0016,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.01844849529807968,0.066195158626698,-0.2956099024124974,-0.24573378839590276,2.211604095563146,0.013651877133106005,-202048,-202048,-163840,9428,2594.9002879321647,2719.7776490730175,0.5246268941025759,0.5371021777756468
0016,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.06698234408253256,-0.24375396781489833,-0.35331750229081127,-1.7201365187713336,-2.457337883959042,-0.030716723549487845,-338624,-338624,-606208,9412,2584.4611354301505,2679.748066006605,0.5240153917932017,0.5335879628611847
0016,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.08950663192511721,-0.3887155758648948,-0.49203613438405736,4.423208191126278,-14.25255972696246,-0.0819112627986347,226336,226336,-196608,9428,2591.9995830156167,2749.083140925745,0.5243335854660153,0.5399880517037299
0016,reliable,marked_gaussian_evidence,marked_asymmetric,0.0348975431405516,-0.00127635539378268,-0.3245871719153959,-4.423208191126278,4.914675767918084,0.07508532423208192,5134576,5134576,3833856,9386,2382.114103715354,2721.106716200917,0.5037800965207682,0.538434044765594
0016,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.009018112400453138,0.0013061167068499913,0.04543649874104272,-0.12286689419794072,1.228668941979521,-0.005119453924914641,-347424,-238304,-245760,9012,3730.098832147658,3703.4043903028733,0.6433533666565623,0.6410471548650991
0016,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.0012634156635997762,-0.037444939844323955,-0.27427119665312905,-0.24573378839589566,-0.4914675767918055,0.020477815699658786,-512160,-341088,-622592,9002,3724.7277865950446,3768.492465348218,0.643246993619562,0.6470149584940219
0016,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.09792955545903803,-0.41883719402637,-0.18710999568761633,2.0887372013651913,-14.375426621160415,-0.09897610921501698,434720,206272,32768,9004,3705.6107725474394,3802.2815981768495,0.6415228900457297,0.6498369407422002
0016,intermittent,marked_gaussian_evidence,marked_asymmetric,0.0397933622993456,0.09725800832582188,-0.5072492212828443,-2.211604095563132,4.791808873720143,0.05290102389078499,5435288,3875064,5603328,8990,3726.165757912822,3990.3870980315196,0.643800395862115,0.666235343249872
0017,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.0020471499462875187,0.04857757872145463,-0.001763784297126647,-0.6486486486486456,2.5945945945945965,0.009009009009009028,-16192,-16192,16384,1674,197.09455859125478,197.63360996040802,0.3431307111597742,0.3435996200537481
0017,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.05418110638874918,0.1178800616907747,-0.007592534047191402,2.5945945945945965,-0.6486486486486456,0.009009009009009028,-33440,-33440,-16384,1676,197.24204984644592,197.26185121290985,0.3430542045496833,0.3430714239294941
0017,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.11652188275599551,0.3644458598873044,-0.2601679694890906,17.513513513513516,-11.027027027027025,0.0,-40480,-40480,16384,1676,197.24204984644592,212.7664551268632,0.3430542045496833,0.3562989740460151
0017,reliable,marked_gaussian_evidence,marked_asymmetric,-0.07818526814855886,-0.07012220710358541,-0.11982727118970393,-1.2972972972972983,2.5945945945945965,-0.018018018018017945,748168,748168,81920,1668,190.8847773645573,217.23404845979618,0.33828880408130707,0.3608825848995912
0017,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.007317852402220382,0.008080768846983943,-0.004959315496657624,-0.6486486486486527,1.621621621621621,0.013513513513513487,59136,22528,0,1680,1963.5517293887542,1964.8019578761712,1.0811016563223044,1.0814457799290227
