time,receiver,formation,birthTime,birthLocation,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,retained,selectedForOutput,mixtureUsed,fallbackReason
151,1,1,1,6,-3.48634395498,-1.56037025272,0.0297032941001,0.00638934162152,0,0,1,
151,1,1,1,7,-1.2943856106,-0.171322193007,0.215111425801,0.187595883471,1,0,0,
151,1,1,1,8,-4.12365069025,-0.208683840291,0.01592752677,0.0129665043661,1,0,0,
151,1,1,1,9,-3.96746577393,-2.87874938415,0.0185699552112,0.0010623433895,0,0,1,
151,1,1,1,10,-0.149171663612,-0.414182017291,0.462776084632,0.362771838335,1,1,1,
151,1,1,1,11,-0.520233531105,-0.175153767217,0.372797627926,0.332835715382,1,0,0,
151,1,1,1,12,-3.11440472027,-0.0977391110403,0.0425169694723,0.0387112777355,1,0,0,
151,1,1,1,13,-4.05691842201,-5.29068721104,0.0170079789035,8.71662970791e-05,0,0,0,
151,1,1,1,14,-4.10950178135,-5.61360757058,0.0161508201465,5.98799260338e-05,0,0,0,
151,1,1,1,15,1.94272843377,-0.0771975225041,0.874651584475,0.865940319252,1,1,0,
151,1,1,1,16,2.69156524289,-0.202363774289,0.936527089719,0.923381327044,1,1,0,
151,2,1,1,1,-3.46883146093,-0.00785551310686,0.0302122002177,0.0299828856622,1,0,0,
151,2,1,1,2,-4.41428896123,-0.00580889068856,0.0119584222198,0.0118899819654,1,0,0,
151,2,1,1,3,-4.04683028817,-0.00573462384604,0.0171774638389,0.0170809172169,1,0,0,
151,2,1,1,4,-4.2781313075,-0.00448064390533,0.0136788481068,0.013618527977,1,0,0,
151,2,1,1,5,-4.35296778811,3.65929508916e-13,0.0127050686814,0.0127050686814,1,0,0,
151,2,1,1,6,-4.43001473265,-1.74082970261e-13,0.0117740345952,0.0117740345952,1,0,0,
151,2,1,1,7,-1.1217649994,-2.23003141286e-07,0.24568404107,0.245683999743,1,0,0,
151,2,1,1,8,-4.37626594654,-5.50670620214e-14,0.012416118284,0.012416118284,1,0,0,
151,2,1,1,10,-0.36842445306,-0.00743523410676,0.408921784043,0.407125877018,1,1,0,
151,2,1,1,11,-0.619980335858,-0.00577569227633,0.349785923741,0.348473467268,1,0,0,
151,2,1,1,12,-3.39659316959,-0.00625989437316,0.0324021063742,0.0322064182923,1,0,0,
151,2,1,1,13,-4.42921509267,0,0.0117833423648,0.0117833423648,1,0,0,
151,2,1,1,14,-4.45540097492,0,0.0114822869946,0.0114822869946,1,0,0,
151,2,1,1,15,1.48361445057,-0.0141396544269,0.815117901483,0.812977544508,1,1,0,
151,2,1,1,16,2.723957209,-0.0171773220394,0.938425590252,0.937425526151,1,1,0,
151,3,1,1,1,-2.8926366493,-0.0045605312168,0.0525187624327,0.0522922904931,1,0,0,
151,3,1,1,2,-4.41402493361,-0.010871675692,0.0119615422187,0.0118337350912,1,0,0,
151,3,1,1,3,-3.99775173355,-0.0105112660173,0.0180259634959,0.0178408428352,1,0,0,
151,3,1,1,4,-4.37256329205,-0.00527942895543,0.0124616021414,0.0123967987983,1,0,0,
151,3,1,1,5,-4.35264096569,-5.52264254416e-06,0.0127091688803,0.0127090995843,1,0,0,
151,3,1,1,6,-4.4180316823,-0.000135056508432,0.0119142810845,0.0119126912594,1,0,0,
151,3,1,1,7,-1.13052108834,-3.53481357962e-07,0.244064948719,0.244064883503,1,0,0,
151,3,1,1,8,-4.37654367412,-1.39471389105e-07,0.0124127132612,0.0124127115514,1,0,0,
151,3,1,1,10,0.0083651433833,-0.000820573499606,0.502091273651,0.501886133524,1,1,0,
151,3,1,1,11,-0.173013872057,-0.00431734100095,0.456854105045,0.455783008003,1,0,0,
151,3,1,1,12,-3.13449841895,-0.00198838665651,0.0417064475464,0.0416270500359,1,0,0,
151,3,1,1,13,-4.42921497764,0,0.0117833437043,0.0117833437043,1,0,0,
151,3,1,1,14,-4.45540082429,-1.06581410364e-14,0.0114822887043,0.0114822887043,1,0,0,
151,3,1,1,15,1.31087887625,-0.0363700671737,0.787660186514,0.781513604605,1,1,0,
151,3,1,1,16,2.57603527279,-0.0071932854376,0.929303234491,0.928829182878,1,1,0,
151,4,1,1,1,-2.18255588437,-0.215520680419,0.101327950273,0.0833194856855,1,0,1,
151,4,1,1,2,-3.76879428011,-0.269349774863,0.0225592106337,0.0173247249637,1,0,1,
151,4,1,1,3,-3.65302412364,-0.00735009792679,0.0252581418053,0.0250778112162,1,0,1,
151,4,1,1,4,-3.84916258693,-0.155406764459,0.0208534364376,0.0179056803567,1,0,1,
151,4,1,1,5,-4.38812844067,-0.00126816866571,0.0122714990436,0.0122561371899,1,0,0,
151,4,1,1,6,-4.39825354399,-0.00186506972897,0.0121493776995,0.0121270139157,1,0,0,
151,4,1,1,7,-1.1487259469,-0.00079412256455,0.240721870989,0.240576755241,1,0,0,
151,4,1,1,8,-4.40634042028,-0.000455907567316,0.0120527027951,0.0120472753128,1,0,0,
151,4,1,1,9,-4.57008154749,-1.86679105951e-07,0.0102509448707,0.0102509429767,1,0,0,
151,4,1,1,10,0.155596400109,-0.0525678517765,0.538820809853,0.525734377162,1,1,0,
151,4,1,1,11,-0.195214294812,-0.0940557077961,0.451350824341,0.428182591902,1,0,0,
151,4,1,1,12,-3.08833511096,-0.0690977323998,0.0435909928224,0.0407994004091,1,0,0,
151,4,1,1,13,-4.43136493787,-1.00478140155e-05,0.0117583347601,0.0117582180043,1,0,0,
151,4,1,1,14,-4.45832230761,-1.79623429872e-05,0.0114491758484,0.0114489725508,1,0,0,
151,4,1,1,15,1.83432935755,-0.0130402651899,0.86227666919,0.860720736012,1,1,0,
151,4,1,1,16,2.49815158445,7.01660951563e-13,0.924012137546,0.924012137547,1,1,0,
151,5,1,1,1,-3.25324924924,-0.0481451651935,0.0372103055161,0.0355233836257,1,0,0,
151,5,1,1,2,-4.30268171,7.1054273576e-15,0.0133515447658,0.0133515447658,1,0,0,
151,5,1,1,3,-4.53499607687,-0.013696880684,0.0106131030908,0.0104702393326,1,0,0,
151,5,1,1,4,-4.25616171174,-1.42108547152e-14,0.0139784450467,0.0139784450467,1,0,0,
151,5,1,1,5,-4.48405814335,-0.00466149742818,0.0111615278369,0.0111101961949,1,0,0,
151,5,1,1,6,-4.41613959801,-0.00154959820664,0.0119365759097,0.0119183136181,1,0,0,
151,5,1,1,7,-1.16228732432,-3.01716154638e-06,0.238251914876,0.238251367298,1,0,0,
151,5,1,1,8,-4.48697432292,-5.87648514028e-05,0.0111293879537,0.0111287412342,1,0,0,
151,5,1,1,9,-4.57025936996,-1.70344804928e-08,0.0102491408653,0.0102491406925,1,0,0,
151,5,1,1,10,-0.00550216212871,-0.00276132995594,0.498624462938,0.497934138734,1,1,0,
151,5,1,1,11,-0.373027612286,-0.0279527277143,0.407809646778,0.401076825472,1,0,0,
151,5,1,1,12,-3.31959614076,-0.00429928894427,0.034905010642,0.0347604712368,1,0,0,
151,5,1,1,13,-4.43115777022,-1.33285311676e-08,0.0117607423075,0.0117607421526,1,0,0,
151,5,1,1,14,-4.45804523103,-2.38359127991e-08,0.0114523122513,0.0114523119814,1,0,0,
151,5,1,1,15,2.13923336859,-0.00291163035113,0.894658381339,0.894383659942,1,1,0,
151,6,1,1,1,-3.35535836263,-0.0293199748512,0.0337201352692,0.0327777510957,1,0,0,
151,6,1,1,2,-4.36812622441,-0.0204793600568,0.0125163243616,0.0122657169727,1,0,0,
151,6,1,1,3,-4.37768442378,-0.0103878871148,0.0123987369995,0.0122721794062,1,0,0,
151,6,1,1,4,-4.24437186346,-0.0163270697921,0.0141418797001,0.0139160460129,1,0,0,
151,6,1,1,5,-4.45878447345,-0.0214226881333,0.0114439461937,0.0112041110334,1,0,0,
151,6,1,1,6,-4.40128413849,-0.00433925508974,0.0121130589247,0.012061243732,1,0,0,
151,6,1,1,7,-1.1549736203,-3.94591443253e-06,0.239581803894,0.239581085019,1,0,0,
151,6,1,1,8,-4.50389709601,-0.00358169744287,0.0109446764915,0.0109059728453,1,0,0,
151,6,1,1,9,-4.57115685334,-6.34085347784e-07,0.0102400407083,0.0102400342818,1,0,0,
151,6,1,1,10,-0.0247336231375,-0.00781088096853,0.493816909422,0.491864592009,1,1,0,
151,6,1,1,11,-0.343743651731,-0.0073108362034,0.414900386889,0.413126733883,1,0,0,
151,6,1,1,12,-3.2158958113,-0.00650031563548,0.0385718977694,0.0383315610912,1,0,0,
151,6,1,1,13,-4.43068170397,-3.53879414661e-09,0.0117662766392,0.011766276598,1,0,0,
151,6,1,1,14,-4.45739966049,-6.22002360728e-09,0.0114596231621,0.0114596230916,1,0,0,
151,6,1,1,15,2.19587684668,-0.000337174030784,0.899878638834,0.899848256344,1,1,0,
