x,input_left_intensity,input_right_intensity,kla_intensity,mil_intensity,conditional_ga_intensity
-3.94,0.20517703554049627,1.1102152755042026e-11,7.225304455908285e-06,0.1025885177757992,0.00013586047954347488
-3.9299999999999997,0.20710443738491913,1.189941252687851e-11,7.515288199251444e-06,0.10355221869840928,0.000141313167478057
-3.92,0.20902904099964253,1.2752649212707109e-11,7.816128633630733e-06,0.1045145205061976,0.0001469699984019657
-3.91,0.2109504336910545,1.3665699830304662e-11,8.128198988072606e-06,0.10547521685236011,0.0001528379902996781
-3.9,0.2128681999190039,1.464265773612457e-11,8.451883976667142e-06,0.10643409996682328,0.00015892437711421817
-3.89,0.21478192143760189,1.5687889282575714e-11,8.787580100184537e-06,0.10739096072664489,0.0001652366144185804
-3.88,0.21669117743867045,1.6806051525655588e-11,9.135695953708611e-06,0.10834558872773825,0.00017178238520029364
-3.87,0.21859554469777298,1.8002111047025557e-11,9.496652540338179e-06,0.10929777235788754,0.0001785696057600817
-3.86,0.2204945977227654,1.928136395838596e-11,9.87088359100592e-06,0.11024729887102337,0.0001856064317255539
-3.85,0.2223879089047972,2.0649457159989388e-11,1.0258835890460955e-05,0.11119395446272333,0.0001929012641807946
-3.84,0.2242750486716965,2.2112410929343635e-11,1.0660969609459677e-05,0.11213752434690447,0.0002004627559126886
-3.83,0.22615558564366423,2.36766429205933e-11,1.1077758643205801e-05,0.11307779283367043,0.00020829981777475398
-3.82,0.22802908679120582,2.5348993659767417e-11,1.1509690956078751e-05,0.11401454340827741,0.0002164216251692168
-3.81,0.22989511759522263,2.713675362603412e-11,1.1957268932685528e-05,0.1149475588111797,0.00022483762464798907
-3.8,0.23175324220918628,2.904769201433441e-11,1.2421009735268959e-05,0.11587662111911698,0.00023355754063316824
-3.79,0.23360302362331314,3.1090087280292094e-11,1.2901445667501291e-05,0.11680151182720161,0.0002425913822576034
-3.78,0.23544402383066015,3.3272759574128713e-11,1.3399124544689188e-05,0.11772201193196646,0.00025194945032601753
-3.77,0.23727580399505258,3.560510517645588e-11,1.3914610070412132e-05,0.11863790201532884,0.00026164234439710006
-3.76,0.2390979246207623,3.8097133055325396e-11,1.4448482219613098e-05,0.11954896232942971,0.00027168096998692385
