time,repair_event,fixed_route_messages,causal_route_messages,fixed_eospa,causal_eospa,fixed_rmse,causal_rmse,fixed_interformation_disagreement,causal_interformation_disagreement
98,0,46.0,48.0,121.91201998150262,117.39386154050594,7.118846911965477,7.171734537838852,141.11668224062728,123.74655232339056
99,0,46.0,48.0,121.90494385506067,117.6532749173698,7.071026690890707,7.068950404056914,141.08336213199382,123.7645961477724
100,0,46.0,48.0,122.16470944849846,117.83046010733715,6.788053672262511,6.748867734548671,142.29642874012424,121.46132657012707
101,0,46.0,48.0,122.69250736509463,118.14698939411666,6.432502211253784,6.518971212487695,142.2884204209977,123.98011584014789
102,0,46.0,48.0,122.96451601808691,118.37806148189493,6.411479566264337,6.445457196890627,142.2948720103998,123.96269438387147
103,0,46.0,48.0,123.22034017893054,117.76356812779765,5.906463583281237,6.307089916618914,142.29845995920155,123.19013500852151
104,0,46.0,48.0,123.48793323372564,118.3645974324666,5.885044681715954,6.029654394360044,142.30349366682657,127.69033446885969
105,0,46.0,48.0,123.4904597250736,118.44584439937749,5.9344848919447815,6.32844696830812,142.2990586902862,127.6824984358559
106,0,46.0,48.0,123.48873217649054,117.48607180341362,5.675755890182756,6.28912860157362,142.28899153722253,123.98274855338919
107,0,46.0,48.0,123.48341690060386,118.03747279510408,5.707241548823846,6.308581814248721,142.29606957040536,128.13340732790306
108,0,46.0,48.0,123.73336873530631,118.92842331963465,5.635557845322989,6.312805903808582,143.82439604165126,131.00452280731352
109,0,46.0,48.0,123.73985277351112,120.47052834670053,5.688923842944834,6.68883865390355,142.29650395868043,131.00538729947348
110,0,46.0,48.0,124.38139269052334,120.74424700191567,5.415766900038456,6.562946279931638,145.41588091438857,124.43018264119742
111,0,46.0,48.0,125.30088787575329,121.96025244669113,5.725890993586504,6.705010892228472,145.41657660866838,134.68613106612662
112,0,46.0,48.0,126.00489624386415,121.111495377329,5.66047374647789,6.719747108241195,145.41577848740533,135.67099468419454
113,0,46.0,48.0,126.45780045459747,121.93457526568916,5.861708812319524,6.578223836652633,145.41542783464854,134.32665955119833
114,0,46.0,48.0,125.94897355285646,121.1205220588523,6.067379362724228,6.72409219317808,145.4179662919494,135.68530906274648
115,0,46.0,48.0,125.44400183109782,121.73574619493222,6.330639166393003,6.976490213215304,143.91838215833042,134.7435305822446
116,0,46.0,48.0,125.69555985688045,122.86673175642272,6.401693622310144,7.098582627948154,143.89963364947022,134.361927653842
117,0,46.0,48.0,125.6991563397303,122.27288527778977,6.620632029831111,7.178131663421271,145.41768864818394,134.70303609205803
118,0,46.0,48.0,125.4402411422975,122.03336073377356,6.433768269012965,7.243181164201331,143.91213309461412,134.72402207282622
119,0,46.0,48.0,125.44053018922443,122.72544085895134,6.357650603683109,7.1215318721750505,143.9035717439468,140.43693366752225
120,0,46.0,48.0,124.92694460316977,121.65849173377495,6.68777234719828,7.339918516505979,143.9040560512416,140.41905388766943
121,0,46.0,48.0,124.93242016184807,122.20603057862188,7.067796651203272,7.547766297374601,143.90771298204,139.22195983827834
122,0,46.0,48.0,125.47131063796515,122.18114074123226,7.803627519956592,7.657406514606784,141.4011558185949,138.26634718122492
123,0,46.0,48.0,125.23320577602273,122.53943943687729,7.981781035500371,7.816687192652501,143.90520969101564,139.23145864660106
124,0,46.0,48.0,125.49134073805499,123.11866832219296,8.416388580906172,7.421592339828426,143.90543199677236,137.69039331659812
