time,ospa_fixed,ospa_balanced,ospa_cardinality,rmse_fixed,rmse_balanced,rmse_cardinality,card_fixed,card_balanced,card_cardinality
87,3.351625213743009,2.2215943623343,1.766887563167455,3.49082800349272,2.72018468595318,1.641881051681156,2,0.45,0.05
88,3.354386195294405,2.147856545587768,1.650063583104753,3.62753589941438,2.413755020569261,1.564910171348384,2.025,0.475,0
89,3.251875487203302,2.194249974305531,1.644803710344432,2.836089612638635,2.285398547922252,1.566183378671651,1.825,0.525,0
90,3.210471765390737,2.129793536864862,1.680593288513452,2.914049121497469,2.797288990760402,1.613853434761734,1.75,0.5,0
91,3.105355077092297,1.979888875211727,1.628061092669877,4.391380417047134,1.492069829222361,1.540029871466038,1.425,0.425,0
92,3.044313125394001,2.042740896886658,1.739660598272546,2.424849809420069,1.518706410633359,1.674520045552624,1.625,0.5,0
93,3.129304524272184,2.171527050156311,1.830893553154849,3.14718365931406,2.429708207041327,1.736244378457222,1.675,0.55,0.025
94,3.296158139345477,2.146973119512182,1.747665063698026,6.598185612328263,2.589942322470415,1.678419445119838,1.7,0.5,0
95,3.138561209745939,2.106678270286579,1.676014399321269,5.790570621671717,2.706035369494395,1.61855280477841,1.625,0.55,0
96,3.261399410492213,2.19606591921541,1.673365215317168,7.935518529957941,5.196753065866842,1.589844160948246,1.5,0.575,0
97,3.267371084942363,2.306825164562167,1.742822543722391,5.361053811123652,5.361349870071078,1.648941475995873,1.7,0.6,0.025
98,3.218020598848545,2.212106446438852,1.683514852006337,6.982491444294702,3.973573361864708,1.617967125763483,1.525,0.65,0
99,3.199890410918154,2.228358407899258,1.719833214545723,8.080126395648064,9.280827316184567,1.701371066133948,1.425,0.5,0
100,3.124479555758493,2.363287946614267,1.915635164627769,7.483477090940747,6.839552959374838,1.916965089422977,1.625,0.675,0.2
