panel,cohort,condition,candidate,reference,metric,scene,unit_index,unit_id,difference
d,reserved,reliable,confirmation_recency,lineage,miss2,,5,0030,-2.3841059602648897
d,reserved,intermittent,conservative_recency,lineage,false2,,0,0005,-3.981566820276498
d,reserved,intermittent,conservative_recency,lineage,false2,,1,0010,0.0
d,reserved,intermittent,conservative_recency,lineage,false2,,2,0015,-3.972413793103442
d,reserved,intermittent,conservative_recency,lineage,false2,,3,0020,-2.2254545454545465
d,reserved,intermittent,conservative_recency,lineage,false2,,4,0025,-1.8400000000000034
d,reserved,intermittent,conservative_recency,lineage,false2,,5,0030,-1.6688741721854257
d,reserved,intermittent,conservative_recency,lineage,miss2,,0,0005,7.299539170506918
d,reserved,intermittent,conservative_recency,lineage,miss2,,1,0010,5.142857142857139
d,reserved,intermittent,conservative_recency,lineage,miss2,,2,0015,0.49655172413793025
d,reserved,intermittent,conservative_recency,lineage,miss2,,3,0020,2.6181818181818244
d,reserved,intermittent,conservative_recency,lineage,miss2,,4,0025,-0.40000000000000036
d,reserved,intermittent,conservative_recency,lineage,miss2,,5,0030,3.0993377483443822
d,reserved,intermittent,confirmation_recency,lineage,false2,,0,0005,-4.976958525345623
d,reserved,intermittent,confirmation_recency,lineage,false2,,1,0010,5.445378151260499
d,reserved,intermittent,confirmation_recency,lineage,false2,,2,0015,1.986206896551721
d,reserved,intermittent,confirmation_recency,lineage,false2,,3,0020,1.047272727272727
d,reserved,intermittent,confirmation_recency,lineage,false2,,4,0025,1.759999999999991
d,reserved,intermittent,confirmation_recency,lineage,false2,,5,0030,4.768211920529794
d,reserved,intermittent,confirmation_recency,lineage,miss2,,0,0005,3.483870967741936
d,reserved,intermittent,confirmation_recency,lineage,miss2,,1,0010,-1.5126050420167871
d,reserved,intermittent,confirmation_recency,lineage,miss2,,2,0015,-25.820689655172416
d,reserved,intermittent,confirmation_recency,lineage,miss2,,3,0020,-8.64
d,reserved,intermittent,confirmation_recency,lineage,miss2,,4,0025,-1.92
d,reserved,intermittent,confirmation_recency,lineage,miss2,,5,0030,-2.6225165562913872
