time,receiver,formation,predictedLabelCount,localLabelCount,fusedLabelCount,predictedMass,localMass,localUpdateMassChange,preEtaMass,fusedMass,poolingMassChangeFromLocal,spatialMassLoss,prunedMass,retainedNotOutputMass,localMapCount,outputMapCount,zeroPdLabelCount,zeroPdMaxAbsLocalChange,weakBeforeSpatialCount,normalizerFallbackCount
2,36,6,24,24,24,4.50237381547242,4.77112597109811,0.26875215562569,4.65732102992855,3.72343149810786,-0.113804941169557,0.933889531820695,0,1.18800000000001,4,4,20,6.93889390390723e-18,20,0
3,1,1,24,24,24,1.62989755413139,1.62989755413139,0,2.22391995456676,2.15341310015457,0.594022400435368,0.0705068544121894,0,1.29814245227035,1,2,24,5.55111512312578e-17,23,2
3,2,1,24,24,24,1.36840202902233,1.36840202902233,0,1.50988512404524,1.46610703910801,0.141483095022908,0.0437780849372305,0,1.32285071748649,1,1,24,6.93889390390723e-18,24,1
3,3,1,24,24,24,1.41134400000001,1.41134400000001,0,1.38042146892064,1.37691627677035,-0.0309225310793779,0.00350519215028577,0,1.31811027677035,1,1,24,6.93889390390723e-18,24,0
3,4,1,24,24,24,1.46762264830949,2.33136890002449,0.863746251714996,1.6645158426009,1.54440667792802,-0.666853057423581,0.120109164672882,0,1.35253800000001,2,1,23,6.93889390390723e-18,24,0
3,5,1,24,24,24,2.23740060098476,2.35227852823998,0.114877927255217,2.34683278118269,2.34614952895403,-0.00544574705728706,0.000683252228661946,0,1.29373200000001,2,2,23,6.93889390390723e-18,23,1
3,6,1,24,24,24,2.24003728553202,2.24003728553202,0,2.35087796747152,2.35059088927575,0.110840681939508,0.000287078195774892,0,1.29373200000001,2,2,24,6.93889390390723e-18,23,0
3,7,2,24,24,24,4.74900279762686,5.16037611805598,0.411373320429115,5.16494635154401,5.16346895428864,0.00457023348803176,0.0014773972553721,0,1.11731400000001,5,5,20,6.93889390390723e-18,20,2
3,8,2,24,24,24,4.95577433565064,4.9831906457003,0.0274163100496514,5.17419453287033,5.06983460947886,0.191003887170036,0.104359923391471,0,1.08641121009654,5,5,20,6.93889390390723e-18,20,4
3,9,2,24,24,24,4.17224569210085,4.61521362304633,0.442967930945485,4.92690329365979,4.82989726263981,0.311689670613459,0.0970060310199834,0,1.06519264814682,4,5,20,6.93889390390723e-18,20,1
3,10,2,24,24,24,3.89765574663736,4.50564930915955,0.607993562522191,4.5851651536303,4.073935344998,0.079515844470758,0.511229808632302,0,1.17612000000001,4,4,20,6.93889390390723e-18,20,0
3,11,2,24,24,24,3.98369119237732,5.12479243719482,1.14110124481749,4.73600372865278,4.0635449478742,-0.388788708542037,0.672458780778581,0,1.17612000000001,5,4,20,6.93889390390723e-18,20,2
3,12,2,24,24,24,4.86946484096488,5.16644991617197,0.296985075207095,5.14501173608577,5.13383666996731,-0.0214381800861974,0.0111750661184677,0,1.117314,5,5,20,6.93889390390723e-18,20,2
3,13,3,24,24,24,4.17664854844836,5.12205940942194,0.945410860973579,4.6868277189482,4.03786890645896,-0.435231690473745,0.648958812489231,0,1.12048523557416,5,4,20,6.93889390390723e-18,20,4
3,14,3,24,24,24,4.60832835153539,5.14165145292483,0.533323101389445,5.13042082597501,5.09526524123537,-0.0112306269498195,0.0351555847396394,0,1.09386391467589,5,5,20,6.93889390390723e-18,20,0
3,15,3,24,24,24,4.80965860495969,4.58438080359368,-0.225277801366016,5.10752442050172,5.0817637874051,0.523143616908046,0.0257606330966178,0,1.10625105304785,4,5,20,6.93889390390723e-18,20,0
3,16,3,24,24,24,3.64723143295711,4.48333342821885,0.836101995261743,4.53389605416029,3.71574109461224,0.0505626259414376,0.818154959548048,0,1.4149358878429,4,3,20,6.93889390390723e-18,20,5
3,17,3,24,24,24,3.33263922831745,4.41180385201709,1.07916462369964,4.5077230689961,4.38486748295362,0.0959192169790173,0.122855586042486,0,1.13635467986914,4,4,20,6.93889390390723e-18,20,2
3,18,3,24,24,24,4.21047308514862,4.09685554908607,-0.113617536062543,4.32692677577643,3.99682721601354,0.23007122669036,0.330099559762892,0,1.15866570950094,4,4,20,6.93889390390723e-18,20,1
