cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
development,0002,reliable,qualified_exist,144,5.091669890505766,4.763774508526266,0.922989083235725,22.5,24.5,0.4583333333333333,265.8208559718888,122,473184,4755456
development,0002,reliable,innovation_recency,144,5.11604732440663,4.788121525861379,0.9219558421066318,23.0,24.5,0.4513888888888889,265.52328252671003,120,539928,4755456
development,0002,reliable,conservative_recency,144,5.079995305422237,4.478611594012637,0.9247355973590319,24.0,16.5,0.4375,266.3238520394011,116,365312,4755456
development,0002,reliable,confirmation_recency,144,5.169704699869186,4.747110187411945,0.9365969824404942,22.0,23.0,0.4722222222222222,269.7399309428623,124,371760,4755456
development,0002,reliable,mil_support,144,6.38588505001348,5.805049741067311,0.9136708268321228,22.5,34.0,0.6041666666666666,263.13719812765135,122,1053168,4755456.0
development,0002,reliable,tc_ospa2_w5,144,7.466955557940411,7.374915343204773,1.7067942940426322,19.5,61.0,0.7152777777777778,491.5567566842782,134,128896,4755456.0
development,0002,reliable,tc_ospa2_w10,144,7.051557147157747,6.822413427585342,1.6981088410447365,22.0,51.0,0.6388888888888888,489.0553462208842,124,238464,4755456.0
development,0003,intermittent,local,198,7.85888133250079,18.646702652038677,17.62466523969496,306.0,76.0,3.926767676767677,6979.367434919208,2033,0,0
development,0003,intermittent,lineage,198,6.9941459257800815,17.193004752029584,13.37125904030073,249.0909090909091,87.0909090909091,3.1843434343434343,5295.018579959083,2346,4494032,7177728.0
development,0003,intermittent,qualified_exist,198,6.890350751056643,16.96893482200332,14.51154733319976,239.63636363636363,87.0909090909091,3.1035353535353534,5746.572743947106,2398,4351464,7226880
development,0003,intermittent,innovation_recency,198,6.873875669370494,16.892015985187356,13.625301281389925,240.1818181818182,84.9090909090909,3.106060606060606,5395.619307430412,2395,4176936,7161344
development,0003,intermittent,conservative_recency,198,7.000445080747077,17.218020624132777,14.374479654716557,258.90909090909093,82.0,3.2954545454545454,5692.293943267763,2292,4338864,7210496
