sequence,role,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0020,reserved,reliable,conservative_recency,275,3.178169490166222,8.83514344587609,4.608105167826095,62.31272727272727,34.56,0.8727272727272727,2534.4578423043513,6324,5897136,9425664,10.119077541666666,92
0020,reserved,reliable,confirmation_recency,275,2.9984792839911942,8.358910700567147,5.182035203332595,44.24727272727273,42.414545454545454,0.7963636363636364,2850.1193618329326,6462,5479264,9147136,10.32048625,81
0020,reserved,reliable,mil_support,275,3.172835310681803,9.061818740912816,7.688626663782664,50.79272727272727,44.50909090909091,0.7781818181818182,4228.7446650804595,6412,8482784,12833536,13.075363541666666,139
0020,reserved,reliable,tc_ospa2_w5,275,3.4149825294598823,9.883891579690516,10.17345979668685,49.22181818181818,57.338181818181816,0.8327272727272728,5595.402888177766,6424,2210704,9081600,3.0922528333333332,0
0020,reserved,reliable,tc_ospa2_w10,275,3.6611761577893995,10.599112263398323,9.794177181429017,73.30909090909091,48.17454545454545,0.9090909090909091,5386.797449785954,6240,4343456,9081600,4.055001541666667,0
0020,reserved,intermittent,local,275,5.877378907024588,16.042081735283627,16.735829687863006,222.41454545454545,36.39272727272727,2.649090909090909,9204.706328324646,5101,0,0,3.707080125,83
0020,reserved,intermittent,lineage,275,3.587599290654984,9.967042476765293,8.04733831056931,83.12727272727273,40.18909090909091,1.018181818181818,4426.036070813123,6165,6162752,10621696,9.167421,91
0020,reserved,intermittent,qualified_exist,275,3.3765534878486387,9.487913635644988,8.588636386505978,73.04727272727273,42.02181818181818,0.9181818181818182,4723.750012578287,6242,5946016,10113792,8.862202958333333,87
0020,reserved,intermittent,conservative_recency,275,3.5918336472601387,9.994007920014937,8.252225212572188,85.74545454545455,37.96363636363636,1.0345454545454544,4538.723866914704,6145,5900880,9966336,9.13972475,88
0020,reserved,intermittent,confirmation_recency,275,3.394825440624347,9.492409767235827,8.342766917617706,74.48727272727272,41.236363636363635,0.9527272727272728,4588.52180468974,6231,5637136,9442048,9.630636541666666,84
0020,reserved,intermittent,mil_support,275,3.608712018145564,10.227624919751221,10.341112695383769,79.2,43.85454545454545,0.9781818181818182,5687.61198246107,6195,8053472,12407552,11.617170291666667,129
0020,reserved,intermittent,tc_ospa2_w5,275,4.074301085410205,11.535605430061736,12.506517587617813,98.18181818181819,49.61454545454546,1.209090909090909,6878.584673189792,6050,2210704,9081600,2.263883416666667,0
0020,reserved,intermittent,tc_ospa2_w10,275,4.287984886057202,12.08907107753799,12.25592457739188,115.59272727272727,43.723636363636366,1.3181818181818181,6740.758517565525,5917,4343456,9081600,2.9531167083333334,0
0025,reserved,reliable,local,450,5.517114671005388,13.448471386148512,12.539102709390809,101.44,84.96,1.8133333333333332,11285.19243845174,7040,0,0,4.959402291666667,77
0025,reserved,reliable,lineage,450,4.175530218973322,10.423841651380453,8.837989913255813,13.44,118.88,1.6466666666666667,7954.190921930231,8140,6957280,16400896,12.563676416666667,133
0025,reserved,reliable,qualified_exist,450,4.29358361880495,10.613877603268184,4.853940534492518,8.96,130.72,1.8466666666666667,4368.54648104327,8196,6084720,15172096,11.020233,86
0025,reserved,reliable,conservative_recency,450,3.8412818645919815,9.711617180485904,8.675691522405204,15.84,107.04,1.488888888888889,7808.122370164683,8110,7154464,16351744,13.782279625,126
0025,reserved,reliable,confirmation_recency,450,3.7553565767467685,9.567464086005028,8.049045473372164,12.32,110.72,1.5177777777777777,7244.140926034951,8154,6950416,16318976,14.65485925,126
