condition,backend,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
reliable,GCE,19,1,predicted,73,75,70,False,False,0.32764456364474526,2.800847626866134,0.0,False
reliable,GCE,19,1,local,71,70,67,False,False,0.24616427218401765,1.3740833012919578,25.169186284676357,False
reliable,GCE,19,1,posterior,71,69,66,False,False,0.4742452090555279,1.7030490945612913,21.07906297656652,False
reliable,GCE,19,1,fused,71,70,67,False,False,0.4742452090555279,3.1126099949669204,82.02050218341384,False
reliable,GCE,19,1,target_local,4,6,4,False,False,0.009553677956738449,0.4682625829735958,0.17441115119614992,False
reliable,GCE,19,1,target_posterior,4,6,4,False,False,0.009445431026115614,0.46826258297357626,0.20222846197090405,False
reliable,GCE,19,2,predicted,63,65,59,False,False,0.32764456364474526,2.800847626866134,0.0,False
reliable,GCE,19,2,local,13,16,13,False,False,0.32764456364474526,2.800847626866134,26.552764587360357,False
reliable,GCE,19,2,posterior,71,69,63,False,False,0.4742452090555279,2.197839323731289,19.16905208333708,False
reliable,GCE,19,2,fused,71,70,64,False,False,0.4742452090555279,2.2335908571000465,51.79227901318238,False
reliable,GCE,19,2,target_local,1,1,1,True,False,0.007383445038680991,0.1609971306908835,0.22487806062790838,False
reliable,GCE,19,2,target_posterior,4,6,4,False,False,0.009445431026115614,0.46826258297357626,0.20222846197090405,False
reliable,GCE,20,1,predicted,81,79,76,False,False,0.46950275696497257,1.6535319273257874,0.0,False
reliable,GCE,20,1,local,75,75,71,False,False,0.1185345070460476,0.661687165249651,9.107599276162205,False
reliable,GCE,20,1,posterior,69,74,65,False,False,0.3043355695855213,0.6616871652497309,22.76246009076047,False
reliable,GCE,20,1,fused,75,75,71,False,False,0.3043355695855213,10.567246827966029,53.227730187444564,False
reliable,GCE,20,1,target_local,1,1,1,True,False,0.005531600352112753,0.07020689633849342,0.12525791901562577,False
reliable,GCE,20,1,target_posterior,1,1,1,True,False,0.014283553743141386,0.08204738980863846,0.18376286637878714,False
reliable,GCE,20,2,predicted,71,69,63,False,False,0.46950275696497257,2.3331014602767106,0.0,False
reliable,GCE,20,2,local,18,18,13,False,False,0.46950275696497257,2.3331014602767106,19.16905208333708,False
reliable,GCE,20,2,posterior,69,74,65,False,False,0.3043355695855213,0.6616871652497309,22.76246009076047,False
reliable,GCE,20,2,fused,75,75,67,False,False,0.3043355695855213,2.1995715755922234,25.62958242475446,False
reliable,GCE,20,2,target_local,1,1,1,True,False,0.009350976715854498,0.12234308511244696,0.20222846197090405,False
reliable,GCE,20,2,target_posterior,1,1,1,True,False,0.014283553743141386,0.08204738980863846,0.18376286637878714,False
reliable,GCE,21,1,predicted,79,84,75,False,False,0.3012922138896661,0.6616871652497309,0.0,False
reliable,GCE,21,1,local,78,79,75,False,False,0.04483138525664804,0.6096269061307589,6.352243301429731,False
reliable,GCE,21,1,posterior,77,74,70,False,False,0.1287310870380045,0.6096269061307993,7.313614341847806,False
reliable,GCE,21,1,fused,78,79,75,False,False,0.1287310870380045,15.011103903547431,49.63015777571694,False
reliable,GCE,21,1,target_local,1,1,1,True,False,0.00297027593617194,0.038789377525922486,0.10216249511622344,False
reliable,GCE,21,1,target_posterior,1,1,1,True,False,0.008174008915790454,0.0479258095201196,0.12002916021009469,False
reliable,GCE,21,2,predicted,69,74,65,False,False,0.3012922138896661,0.6616871652497309,0.0,False
reliable,GCE,21,2,local,9,16,8,False,False,0.3012922138896661,0.4368988657602966,7.163445629732106,False
reliable,GCE,21,2,posterior,77,74,70,False,False,0.1287310870380045,0.6096269061307993,7.313614341847806,False
reliable,GCE,21,2,fused,78,79,70,False,False,0.1287310870380045,0.6096269061307993,7.313614341847806,False
reliable,GCE,21,2,target_local,1,1,1,True,False,0.014140718205709946,0.08204738980863846,0.18376286637878714,False
reliable,GCE,21,2,target_posterior,1,1,1,True,False,0.008174008915791009,0.0479258095201196,0.12002916021009469,False
reliable,GCE,22,1,predicted,87,84,80,False,False,0.12744377616762445,0.6096269061307993,0.0,False
reliable,GCE,22,1,local,82,83,78,False,False,0.014909032047187794,0.45571627272826154,6.042574665635556,False
reliable,GCE,22,1,posterior,77,83,73,False,False,0.006101416250175462,0.45571627272819626,6.042574665635499,False
reliable,GCE,22,1,fused,82,83,78,False,False,0.006101416250175462,14.080350803477113,184.48533742638466,False
reliable,GCE,22,1,target_local,1,1,1,True,False,0.0005930861287913869,0.030085881662810565,0.06486936588585301,False
reliable,GCE,22,1,target_posterior,1,1,1,True,False,0.0026329626843915044,0.033783012575893334,0.06930683053895237,False
reliable,GCE,22,2,predicted,77,74,70,False,False,0.12744377616762445,0.6096269061307993,0.0,False
reliable,GCE,22,2,local,12,10,9,False,False,0.12744377616762445,0.17734274484178592,1.8123907594688404,False
reliable,GCE,22,2,posterior,77,83,73,False,False,0.006101416250175462,0.45571627272819626,6.042574665635499,False
reliable,GCE,22,2,fused,82,83,75,False,False,0.045752117925109435,13.424247944919149,8.381737174208183,False
