sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,matched_rmse,raw_bytes,wire_bytes,delivered_raw_bytes,runtime_s,maximum_prefusion_bernoulli_count,observable_absences,total_weight_change
0004,reliable,tc_ospa2_w10,180,5.006605259740557,23.975760872434037,55.549073537870854,278.4,248.0,2.011111111111111,19997.666473633508,8404,1.5425762429167096,4217760,5944320.0,4217760,5.575836708333333,0,0,0.0
0004,intermittent,local,180,5.08318035065443,23.170265617401476,59.11800208970566,344.4,147.0,2.813888888888889,21282.48075229405,8074,1.6235540527608165,0,0,0,9.355478083333333,130,0,0.0
0004,intermittent,lineage,180,5.070929729518972,24.125896862236342,64.14797285375111,314.6,211.6,2.1805555555555554,23093.27022735038,8223,1.6758207888888765,5734224,7975936.0,4315248,31.065125791666667,139,5523,0.0
0004,intermittent,qualified_exist,180,5.023765254790169,23.983741135467753,64.18376881511573,306.2,213.0,2.066666666666667,23106.156773441646,8265,1.6720236994358344,5713008,7992320.0,4296528,32.945716166666664,138,5367,919.009881597225
0004,intermittent,mil_support,180,4.82430898714728,22.95563975578274,58.05375271604072,285.0,193.8,1.8944444444444444,20899.350977774644,8371,1.5800750984246434,5888144,8320000.0,4398448,28.935332916666667,139,0,0.0
0004,intermittent,tc_ospa2_w5,180,4.971056016840679,23.433557440233027,53.46698596880022,277.4,226.2,2.161111111111111,19248.114948768085,8409,1.5129407677665043,2149936,5944320.0,1534288,3.857135791666667,0,0,0.0
0004,intermittent,tc_ospa2_w10,180,5.022501807638191,23.589000225564583,55.34337701556009,290.6,218.6,2.272222222222222,19923.615725601634,8343,1.5453361230301166,4217760,5944320.0,3003984,4.7651095833333335,0,0,0.0
0005,reliable,local,310,6.350660405217188,20.15174424754889,30.994110701549605,308.3225806451613,116.59354838709677,3.2661290322580645,19216.34863496075,6987,1.658402955499972,0,0,0,11.188484916666667,131,0,0.0
0005,reliable,lineage,310,4.7446865114853605,15.256051763135527,21.49546283188981,140.28387096774193,102.89032258064516,1.5516129032258064,13327.186955771711,8434,1.2570496941549363,10052928,14743040.0,10052928,29.438945625,154,2136,0.0
0005,reliable,qualified_exist,310,4.589181245898201,14.737857962499572,21.253086239168155,122.4,104.0516129032258,1.403225806451613,13176.91346828425,8588,1.2386848591488524,9625280,14726656.0,9625280,26.350459916666665,137,1608,8296.391129658747
0005,reliable,mil_support,310,4.866428004881203,15.46769562065545,26.335294122268888,115.43225806451613,122.4,1.5096774193548388,16327.882355806705,8648,1.3740644094674939,14620816,19461632.0,14620816,48.821748166666666,232,0,0.0
0005,reliable,tc_ospa2_w5,310,5.2209207186678634,16.532026287297207,25.407239199129993,108.0,162.11612903225807,1.7516129032258065,15752.48830346059,8712,1.3446697950075583,3328384,10237440.0,3328384,6.840429708333334,0,0,0.0
0005,reliable,tc_ospa2_w10,310,5.283882739688156,16.873398228910528,25.834604626622514,141.44516129032257,144.46451612903226,1.7451612903225806,16017.454868505958,8424,1.3789152523231807,6570160,10237440.0,6570160,8.744066916666666,0,0,0.0
0005,intermittent,local,310,6.350660405217188,20.15174424754889,30.994110701549605,308.3225806451613,116.59354838709677,3.2661290322580645,19216.34863496075,6987,1.658402955499972,0,0,0,11.188484916666667,131,0,0.0
0005,intermittent,lineage,310,5.075482099976893,16.217981663623316,24.251607210615813,157.93548387096774,114.50322580645161,1.6258064516129032,15035.996470581791,8282,1.347406054392798,10052096,14775808.0,7692352,24.417106041666667,142,1506,0.0
0005,intermittent,qualified_exist,310,4.941829011926245,15.711997696482376,25.326318550848264,143.76774193548388,111.83225806451613,1.5467741935483872,15702.317501525944,8404,1.366906647037089,9272720,14677504.0,7066064,22.379181208333332,142,1225,5679.545056318557
0005,intermittent,mil_support,310,5.090488660235231,16.329478902449633,27.58151854476175,147.6,125.41935483870968,1.6274193548387097,17100.54149775228,8371,1.4292765239393521,13823760,18101760.0,10691920,40.432283125,198,0,0.0
0005,intermittent,tc_ospa2_w5,310,5.642950687168947,17.73407374212955,27.147998575169257,162.23225806451612,153.40645161290323,1.9774193548387098,16831.759116604953,8245,1.4287933611840478,3328384,10237440.0,2510824,5.312298083333333,0,0,0.0
0005,intermittent,tc_ospa2_w10,310,5.676140143636472,17.91249785080384,27.33471447695583,186.73548387096776,138.89032258064515,2.041935483870968,16947.52297571261,8034,1.4524032163202039,6570160,10237440.0,4951592,6.671259333333333,0,0,0.0
0006,reliable,local,304,6.316205091774901,12.768977771738895,5.411732385840826,78.98684210526316,116.28947368421052,1.4917763157894737,3290.3332905912216,3355,0.9903157440450463,0,0,0,4.6489209166666665,98,0,0.0
0006,reliable,lineage,304,6.185570340636386,12.321321918910886,2.665364217901482,65.13157894736842,117.47368421052632,1.450657894736842,1620.5414444841024,3472,0.6831879739450315,4824048,10629120.0,4824048,11.491798,91,2682,0.0
0006,reliable,qualified_exist,304,6.393488340804606,12.871222225323878,2.6697504826480256,63.94736842105263,131.92105263157896,1.6414473684210527,1623.20829345,3482,0.6827673471050235,4728160,10481664.0,4728160,11.172270083333334,93,2084,1474.3362239803564
0006,reliable,mil_support,304,6.411477928821353,12.965219851726635,2.814988732381541,52.578947368421055,140.44736842105263,1.5953947368421053,1711.5131492879746,3578,0.6916238354090856,6717888,12791808.0,6717888,12.421972041666667,128,0,0.0
0006,reliable,tc_ospa2_w5,304,6.64450195840269,13.252326978304362,3.581102734393745,47.60526315789474,147.31578947368422,1.7138157894736843,2177.3104625113942,3620,0.7755430217559228,1515904,10039296.0,1515904,2.3696665,0,0,0.0
0006,reliable,tc_ospa2_w10,304,6.441839804337907,12.889911554255914,3.6669507823863827,58.26315789473684,129.78947368421052,1.4605263157894737,2229.50607569092,3530,0.794725187360505,2953600,10039296.0,2953600,3.0973714583333334,0,0,0.0
0006,intermittent,local,304,6.316205091774901,12.768977771738895,5.411732385840826,78.98684210526316,116.28947368421052,1.4917763157894737,3290.3332905912216,3355,0.9903157440450463,0,0,0,4.6489209166666665,98,0,0.0
0006,intermittent,lineage,304,6.159337811977141,12.41384703448151,4.236575122476073,64.30263157894737,121.5,1.425986842105263,2575.8376744654515,3479,0.8604626646516395,5163088,11366400.0,4065824,11.311964208333332,118,2424,0.0
0006,intermittent,qualified_exist,304,6.209741632231192,12.480734143112722,2.5922344980103706,63.0,123.51315789473684,1.449013157894737,1576.0785747903049,3490,0.6720107480529272,4889360,10612736.0,3815184,10.794166125,104,2350,1458.1872652495058
0006,intermittent,mil_support,304,6.348304880512843,12.830908727763177,3.2274591093659986,52.223684210526315,137.72368421052633,1.5625,1962.2951384945275,3581,0.7402527056860309,6525488,12759040.0,4987888,11.53450825,121,0,0.0
0006,intermittent,tc_ospa2_w5,304,6.521376001143736,13.021069269414497,3.6352533824687385,53.526315789473685,138.19736842105263,1.6463815789473684,2210.2340565409895,3570,0.786837455326015,1515904,10039296.0,1205648,1.9423745416666667,0,0,0.0
0006,intermittent,tc_ospa2_w10,304,6.420536509891892,12.808170033912276,3.744565806469992,61.93421052631579,125.17105263157895,1.480263157894737,2276.6960103337547,3499,0.8066414818446717,2953600,10039296.0,2351568,2.6094407083333335,0,0,0.0
0007,reliable,local,221,8.052887305181635,22.76003489928018,15.804288146704206,455.78280542986425,82.42533936651584,5.280542986425339,6985.49536084326,3146,1.4901131425620433,0,0,0,3.694848208333333,115,0,0.0
0007,reliable,lineage,221,4.214647499350273,12.413705672327136,17.26931917223622,88.289592760181,75.90950226244344,1.5475113122171946,7633.039074128409,5402,1.188697783390928,7701408,10870016.0,7701408,17.319588208333332,200,1390,0.0
0007,reliable,qualified_exist,221,4.267143711232083,12.813073893752282,19.828090185680505,76.56108597285068,92.85067873303167,1.3665158371040724,8764.015862070784,5474,1.265316527835606,6581536,10231040.0,6581536,14.808511708333333,178,1122,13870.057435747643
0007,reliable,mil_support,221,4.593363191764512,13.691703000151012,32.0195025709305,53.10407239819005,126.08144796380091,1.8914027149321266,14152.620136351266,5618,1.5871850262793228,11821056,15441152.0,11821056,33.860437875,258,0,0.0
0007,reliable,tc_ospa2_w5,221,4.75525226392103,13.91285545658224,13.629646006117243,54.73303167420814,145.6289592760181,2.1131221719457014,6024.30353470383,5608,1.0364525404126266,1202896,7298304.0,1202896,1.5206685416666668,0,0,0.0
0007,reliable,tc_ospa2_w10,221,4.73345379029699,13.954581507829053,18.60541509573078,76.23529411764706,126.40723981900453,2.0452488687782804,8223.593472313007,5476,1.2254598779241763,2366192,7298304.0,2366192,2.146377375,0,0,0.0
0007,intermittent,local,221,8.052887305181635,22.76003489928018,15.804288146704206,455.78280542986425,82.42533936651584,5.280542986425339,6985.49536084326,3146,1.4901131425620433,0,0,0,3.694848208333333,115,0,0.0
0007,intermittent,lineage,221,4.8119662264989005,14.648212048278006,38.43897875486492,144.97737556561086,91.22171945701358,2.0316742081447963,16990.02860965028,5054,1.833493760215066,8929024,13360384.0,5655808,15.746573583333333,189,915,0.0
0007,intermittent,qualified_exist,221,4.823202479355385,14.866069082198884,40.269171358710686,133.08597285067873,107.34841628959276,1.8642533936651584,17798.97374055013,5127,1.8632272295935655,7433296,10870016.0,4654080,12.910883375,173,1001,8359.884253751323
0007,intermittent,mil_support,221,4.8639235497343,15.287308025656513,64.27848068971423,106.3710407239819,124.4524886877828,1.9615384615384615,28411.088464853692,5291,2.317261549665561,13443872,16538880.0,9071584,34.62618620833333,266,0,0.0
0007,intermittent,tc_ospa2_w5,221,5.851101969005355,17.239506110073332,14.102856411006755,213.71945701357467,125.26696832579185,3.3733031674208145,6233.462533664991,4632,1.1600598643865283,1202896,7298304.0,793072,0.979501125,0,0,0.0
0007,intermittent,tc_ospa2_w10,221,5.873976555581853,17.374401685392808,18.151923057339218,232.94117647058823,111.58371040723982,3.3959276018099547,8023.14999134394,4514,1.3331888668051928,2366192,7298304.0,1549248,1.3953850833333334,0,0,0.0
0008,reliable,local,375,2.2734554377211085,6.594970567501276,3.58131395751156,52.896,6.432,0.704,2685.98546813367,10231,0.5123807287122253,0,0,0,11.501317625,112,0,0.0
0008,reliable,lineage,375,0.8765900162448002,2.8577410544333537,3.065484363902302,9.6,8.064,0.22933333333333333,2299.1132729267238,10682,0.46393153876130827,7726448,12629760.0,7726448,25.563618875,88,426,0.0
0008,reliable,qualified_exist,375,0.8646858443030389,2.827351581019581,3.083221317987942,9.024,8.064,0.22133333333333333,2312.41598849096,10688,0.4651411466945607,7593744,12613376.0,7593744,25.297044416666665,87,444,1198.695725136794
0008,reliable,mil_support,375,0.9364494695696687,3.02260323370778,3.082542978913734,9.984,9.792,0.25866666666666666,2311.907234185305,10678,0.465307704633323,8019104,12613376.0,8019104,23.814000291666666,91,0,0.0
0008,reliable,tc_ospa2_w5,375,1.262038885972181,3.8860114791458487,3.0555558030569157,11.904,18.048,0.39466666666666667,2291.6668522926866,10658,0.46370084096240394,2899744,12384000.0,2899744,4.81666475,0,0,0.0
0008,reliable,tc_ospa2_w10,375,1.381484715913996,4.209762885248689,3.142779502313102,14.4,19.008,0.432,2357.0846267348284,10632,0.47084732096006426,5732160,12384000.0,5732160,6.237014708333334,0,0,0.0
0008,intermittent,local,375,2.2734554377211085,6.594970567501276,3.58131395751156,52.896,6.432,0.704,2685.98546813367,10231,0.5123807287122253,0,0,0,11.501317625,112,0,0.0
0008,intermittent,lineage,375,0.9876768721346699,3.1525416093303633,3.1548128804886963,12.48,8.16,0.27066666666666667,2366.1096603665187,10652,0.47130479198063435,9322016,13252352.0,6613376,29.717707208333334,92,377,0.0
0008,intermittent,qualified_exist,375,0.973572067234988,3.117017147745782,3.1727751024057205,11.712,8.256,0.2613333333333333,2379.5813268042903,10660,0.4724672106915345,9131280,13154048.0,6463200,25.438049875,88,363,1727.3600591859777
0008,intermittent,mil_support,375,1.0529802972975864,3.3290505989959445,3.169262468523516,13.152,9.696,0.30133333333333334,2376.9468513926367,10645,0.47253817820689803,9641296,13252352.0,6901040,18.741106916666666,91,0,0.0
0008,intermittent,tc_ospa2_w5,375,1.6419075822664657,4.858616808551114,3.1002893436521677,25.152,15.36,0.5333333333333333,2325.217007739125,10520,0.4701363979472572,2899744,12384000.0,2072896,2.7485890416666665,0,0,0.0
0008,intermittent,tc_ospa2_w10,375,1.7426813112328163,5.133985436719658,3.169058709598133,27.36,16.128,0.564,2376.7940321986002,10497,0.4758424419397318,5732160,12384000.0,4089200,3.6499154166666665,0,0,0.0
