condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_known_censor,113,1,277,10,287,283,4,True,283,4,279,4,0,2
reliable,marked_gaussian_evidence_known_censor,113,2,50,2,52,17,35,True,283,29,254,4,241,204
reliable,marked_gaussian_evidence_known_censor,114,1,279,9,288,282,6,True,287,2,285,1,4,6
reliable,marked_gaussian_evidence_known_censor,114,2,254,3,257,17,240,True,287,18,269,1,253,15
reliable,marked_gaussian_evidence_known_censor,115,1,285,8,293,284,9,True,292,4,288,4,8,3
reliable,marked_gaussian_evidence_known_censor,115,2,269,3,272,22,250,True,292,237,55,4,37,-214
reliable,marked_gaussian_evidence_known_censor,116,1,288,8,296,286,10,True,296,2,294,2,10,6
reliable,marked_gaussian_evidence_known_censor,116,2,55,3,58,22,36,True,296,28,268,2,248,213
reliable,marked_gaussian_evidence_known_censor,117,1,294,8,302,290,12,True,295,5,290,5,5,-4
reliable,marked_gaussian_evidence_known_censor,117,2,268,2,270,21,249,True,295,26,269,5,253,1
reliable,marked_gaussian_evidence_known_censor,118,1,290,9,299,296,3,True,298,1,297,1,2,7
reliable,marked_gaussian_evidence_known_censor,118,2,269,1,270,18,252,True,298,251,47,1,30,-222
reliable,marked_gaussian_evidence_known_censor,119,1,297,8,305,295,10,True,296,7,289,7,1,-8
reliable,marked_gaussian_evidence_known_censor,119,2,47,2,49,24,25,True,296,29,267,7,250,220
reliable,marked_gaussian_evidence_known_censor,120,1,289,8,297,293,4,True,296,4,292,4,3,3
reliable,marked_gaussian_evidence_known_censor,120,2,267,2,269,20,249,True,296,252,44,4,28,-223
reliable,marked_gaussian_evidence_known_censor,121,1,292,9,301,297,4,True,298,5,293,5,1,1
reliable,marked_gaussian_evidence_known_censor,121,2,44,4,48,24,24,True,298,17,281,5,262,237
reliable,marked_gaussian_evidence_known_censor,122,1,293,10,303,298,5,True,299,4,295,4,1,2
reliable,marked_gaussian_evidence_known_censor,122,2,281,3,284,19,265,True,299,262,37,4,22,-244
reliable,marked_gaussian_evidence_known_censor,123,1,295,10,305,298,7,True,300,8,292,8,2,-3
reliable,marked_gaussian_evidence_known_censor,123,2,37,3,40,34,6,True,300,9,291,8,265,254
reliable,marked_gaussian_evidence_known_censor,124,1,292,10,302,295,7,True,295,2,293,2,0,1
reliable,marked_gaussian_evidence_known_censor,124,2,291,4,295,290,5,True,295,2,293,2,5,2
reliable,marked_gaussian_evidence_known_censor,125,1,293,9,302,294,8,True,294,7,287,7,0,-6
reliable,marked_gaussian_evidence_known_censor,125,2,293,2,295,289,6,True,294,7,287,7,5,-6
reliable,marked_gaussian_evidence_known_censor,126,1,287,9,296,295,1,True,295,1,294,1,0,7
reliable,marked_gaussian_evidence_known_censor,126,2,287,2,289,283,6,True,295,2,293,1,11,6
reliable,marked_gaussian_evidence_known_censor,127,1,294,12,306,45,261,True,45,11,34,11,0,-260
reliable,marked_gaussian_evidence_known_censor,127,2,293,2,295,27,268,True,45,15,30,11,14,-263
reliable,marked_gaussian_evidence_known_censor,128,1,34,10,44,40,4,True,40,2,38,2,0,4
reliable,marked_gaussian_evidence_known_censor,128,2,30,1,31,16,15,True,40,4,36,2,22,6
reliable,marked_gaussian_evidence_known_censor,129,1,38,13,51,46,5,True,46,2,44,2,0,6
reliable,marked_gaussian_evidence_known_censor,129,2,36,1,37,14,23,True,46,5,41,2,29,5
reliable,marked_gaussian_evidence_known_censor,130,1,44,11,55,50,5,True,50,6,44,6,0,0
reliable,marked_gaussian_evidence_known_censor,130,2,41,2,43,18,25,True,50,6,44,6,32,3
reliable,marked_gaussian_evidence_known_censor,131,1,44,13,57,56,1,True,56,2,54,2,0,10
